dR2_M,dR2_OxM,unit
3.039020207851184e-05,7.726382316231017e-05,per36min
2.8374832599986632e-05,4.9281773136899965e-05,per36min
3.857437990029133e-06,0.0001618007681719602,per36min
0.0002597874111035514,0.0003339952418064396,per36min
2.3047918427110403e-06,3.789721099056731e-05,per36min
6.319061920834201e-06,3.76670824631109e-06,per36min
3.286159188831128e-05,3.5160424010083347e-06,per36min
4.1248156890105747e-07,7.200173350874195e-07,per36min
2.6747317808384352e-06,3.8059014739633135e-05,per36min
2.8410046008953138e-05,2.6858023417508647e-05,per36min
0.00024703605971387876,0.0004780560874054762,per36min
2.261412079929137e-05,8.119329141242915e-07,per36min
0.0002575775145015058,1.7468015764965372e-06,per36min
0.00012652937152024535,0.0001962304857773267,per36min
2.6796843334508935e-05,2.4881839242318904e-06,per36min
6.430754537856131e-05,2.953079830336769e-06,per36min
0.00013182816425993948,3.4646893013468016e-06,per36min
6.612537660788398e-05,8.374579959902206e-05,per36min
9.113534409144197e-05,3.9571622258982586e-05,per36min
3.38497906896551e-05,2.8681597212809606e-06,per36min
2.2447143503301348e-05,6.804529143922267e-06,per36min
1.3559954065156532e-06,0.0002537566950022718,per36min
0.00029872214449544465,6.411087224267309e-05,per36min
9.676443227468745e-06,2.1461235847897164e-05,per36min
1.5623414264531732e-06,4.568016360995131e-05,per36min
5.572603863690517e-06,3.7182639676891505e-05,per36min
2.0779972919049428e-05,1.8211715568927644e-07,per36min
0.00010846504442252325,3.686586526052693e-07,per36min
1.3469632207274707e-05,2.9660737976833218e-08,per36min
8.675861942453178e-05,3.40017688216232e-06,per36min
0.00011558795778454645,1.6879923059431867e-05,per36min
2.0893665512611292e-05,9.18659029069957e-07,per36min
0.00026303855750609006,0.00031467947885288616,per36min
2.586516873326339e-05,7.797993218039423e-06,per36min
1.654037607323744e-06,1.5045292841797675e-05,per36min
1.5310912686472555e-05,9.454233678540813e-05,per36min
0.00012019009483865695,0.00020978855849318467,per36min
1.2165757073967498e-05,7.354127828462786e-05,per36min
4.241498645418673e-06,0.0001730725885515927,per36min
2.444726287187393e-06,9.716163084427798e-06,per36min
5.384369006955492e-05,2.1957033970565476e-05,per36min
6.337769740805133e-05,6.843192012784272e-05,per36min
0.00011155792163763945,0.00028009317182209337,per36min
8.766429104856144e-08,5.993019825956125e-07,per36min
0.00024675263326701113,6.009355398228777e-05,per36min
0.0002760787007082266,0.00010731927609641811,per36min
9.000281937621146e-06,8.127260155188498e-05,per36min
2.823091251535903e-05,0.00017520374848012388,per36min
6.932417274119196e-06,0.0006766989425288639,per36min
4.9061678396022934e-05,1.599428692489191e-06,per36min
2.7612391179987483e-05,7.98718603859383e-05,per36min
2.4490863768100724e-06,0.0005362925603293878,per36min
0.0001221449083542714,0.00029097786573883955,per36min
3.066162986842258e-07,1.818549903453981e-05,per36min
9.70296942561788e-05,9.970760918576183e-06,per36min
5.362899718286407e-05,6.2591316943860775e-06,per36min
5.873788527788193e-07,5.432986881492852e-07,per36min
1.3540881792839521e-05,1.4697810972741365e-06,per36min
5.165002641838168e-05,0.00011681729258194995,per36min
6.154153442206045e-05,9.551423907350198e-08,per36min
6.56815685002865e-05,4.024615793152275e-05,per36min
2.0816616632557405e-05,4.059545863777103e-05,per36min
0.00015093313249536777,2.072133992170322e-06,per36min
3.8264510400232155e-06,3.660956787876479e-05,per36min
1.175125634611529e-05,0.00019093311839668559,per36min
4.150722828177855e-05,0.00022086149192257487,per36min
1.9631263825536927e-05,0.00010848769059190744,per36min
4.981169551054876e-06,5.701451311068695e-09,per36min
