dR2_M,dR2_OxM,target,var
0.00019084286442516696,3.373535689688012e-07,reb,own_b2b
3.1423558695342635e-05,6.104352495039933e-06,reb,own_b2b
2.146332474084467e-06,1.9949672859009837e-05,reb,own_b2b
1.3023827094560403e-07,0.00010063590631037567,reb,own_b2b
3.315866370845466e-05,0.0001398916857060506,reb,own_b2b
2.0849904891484528e-07,6.471030575816439e-05,reb,own_b2b
5.75251002649102e-05,0.00015968547465183835,reb,own_b2b
8.639715626090894e-05,2.9097774884689898e-05,reb,own_b2b
5.798554867353367e-05,2.9374547213523172e-06,reb,own_b2b
1.0217553238933696e-05,1.7852857081335216e-05,reb,own_b2b
2.539259859768439e-05,5.635796878256105e-05,reb,own_b2b
0.00012113724081808108,0.0002509598120714607,reb,own_b2b
9.812940266262782e-05,3.110201855038852e-05,reb,own_b2b
9.101793417976012e-05,8.565821901007631e-05,reb,own_b2b
1.3123803006553914e-06,0.0002761309132355283,reb,own_b2b
2.718980127047743e-05,0.0002741756822611796,reb,own_b2b
4.9360156413102985e-05,0.0001882020095440584,reb,own_b2b
4.645739278497096e-06,5.147305179087347e-05,reb,own_b2b
9.829182309184503e-07,0.00027974893141036183,reb,own_b2b
0.00021866442789686413,9.861169349978383e-07,reb,own_b2b
4.795491493692072e-05,3.147488423860256e-05,reb,own_b2b
4.506742895982185e-06,4.974721039641139e-05,reb,own_b2b
3.4724806367014693e-06,0.00023160219535345306,reb,own_b2b
0.00013075062441969543,0.00021947812519185206,reb,own_b2b
7.743481717326084e-05,0.00010322167980392205,reb,own_b2b
4.05059347827752e-05,2.7152236183658474e-05,reb,own_b2b
1.8397973746697716e-06,1.3123698782258053e-05,reb,own_b2b
6.653868605988045e-06,0.00017695844905196711,reb,own_b2b
7.914345741655282e-06,1.0883876278011684e-06,reb,own_b2b
1.8616758754919083e-05,2.5931176449445204e-06,reb,own_b2b
5.548827664503264e-05,1.329458538323891e-05,reb,own_b2b
1.7927699335396063e-05,7.487955920759681e-06,reb,own_b2b
1.337875304641134e-05,1.5396737216510914e-05,reb,own_b2b
6.020358459302155e-05,0.0001871007528566615,reb,own_b2b
6.069549434684074e-05,0.00012669230576711765,reb,own_b2b
0.00043057992807915557,3.275718537687489e-05,reb,own_b2b
1.8175274049681e-05,8.709183234700824e-06,reb,own_b2b
7.133808908654782e-05,1.9546672571868484e-05,reb,own_b2b
0.00018766147699844637,1.55354774569183e-05,reb,own_b2b
1.0534430337272305e-05,0.00010556399681671547,reb,own_b2b
2.166753230281593e-05,6.605541809090454e-07,reb,own_b2b
6.865414625800703e-05,0.0001075269468672202,reb,own_b2b
0.0003594074118472568,0.00040943329334652834,reb,own_b2b
0.00011267357328148542,3.4032237883563354e-05,reb,own_b2b
2.902932211179543e-05,3.976149354434355e-06,reb,own_b2b
3.771214276337975e-05,2.0468330511169697e-05,reb,own_b2b
9.937811944515929e-05,0.00016551101735873264,reb,own_b2b
3.167676887561033e-05,2.8372963963851916e-06,reb,own_b2b
6.45474788396605e-06,4.952388679813069e-06,reb,own_b2b
2.529488064895169e-06,9.749766768651913e-05,reb,own_b2b
6.230358333947361e-05,5.842799982835878e-06,reb,own_b2b
5.341219969867694e-06,6.283040991594824e-06,reb,own_b2b
2.8456947048782766e-05,5.178963690544158e-05,reb,own_b2b
