unit,slice,arm,curve_type,x,x_label,n,coverage_share,realised_edge_mean,realised_edge_ci90_low,realised_edge_ci90_high,roi_captured,roi_captured_ci90_low,roi_captured_ci90_high,roi_m110,pred_score_mean,mean_abs_disagreement,hit_rate,starrable
props_regular,2026_retrospective_descriptive,comparator_absence_proxy_only,decile,1.0,decile_1,177,0.09966216216216216,-0.3514758167512688,-0.6375995903816899,-0.06535204312084775,-0.0689350666972403,-0.19164667545379255,0.05377654205931194,-0.04006163328197227,4.338983050847458,1.7708174234224034,0.5028248587570622,True
props_regular,2026_retrospective_descriptive,comparator_absence_proxy_only,decile,2.0,decile_2,178,0.10022522522522523,-0.4286225185094946,-0.5831707462545654,-0.27407429076442374,-0.16064849789796934,-0.25647258839890963,-0.06482440739702905,-0.1312563840653728,3.039325842696629,1.7481169134407748,0.4550561797752809,True
props_regular,2026_retrospective_descriptive,comparator_absence_proxy_only,decile,3.0,decile_3,177,0.09966216216216216,-0.06307168436889822,-0.2924474721862864,0.16630410344849,0.045517031531389224,-0.08169708489298241,0.17273114795576086,0.0785824345146379,3.0,1.9399306462948045,0.5649717514124294,True
props_regular,2026_retrospective_descriptive,comparator_absence_proxy_only,decile,4.0,decile_4,178,0.10022522522522523,-0.2990507765827231,-0.6368921143577446,0.038790561192298456,-0.03501393222047532,-0.13807383502675438,0.06804597058580375,-0.002553626149131765,2.393258426966292,1.8712774135382482,0.5224719101123596,True
props_regular,2026_retrospective_descriptive,comparator_absence_proxy_only,decile,5.0,decile_5,178,0.10022522522522523,-0.25564014299783444,-0.46275906020058477,-0.04852122579508408,0.06727072890277513,-0.013651779294672678,0.14819323710022295,0.10469867211440245,2.0,1.6994074107483101,0.5786516853932584,True
props_regular,2026_retrospective_descriptive,comparator_absence_proxy_only,decile,6.0,decile_6,177,0.09966216216216216,-0.45550064620218655,-0.7021449106966817,-0.20885638170769139,-0.042471754265745454,-0.14930246176814993,0.06435895323665902,-0.007704160246533134,2.0,1.8012814393207361,0.519774011299435,True
props_regular,2026_retrospective_descriptive,comparator_absence_proxy_only,decile,7.0,decile_7,178,0.10022522522522523,-0.44689314698094995,-0.787846389988031,-0.10593990397386888,-0.07351130173895835,-0.1970200236451335,0.04999742016721677,-0.04545454545454545,1.4719101123595506,1.9657988198594685,0.5,True
props_regular,2026_retrospective_descriptive,comparator_absence_proxy_only,decile,8.0,decile_8,177,0.09966216216216216,-0.28908699060216747,-0.526328654443268,-0.05184532676106687,-0.06586222779231374,-0.1757540422237523,0.04402958663912482,-0.04006163328197227,1.0,1.7253652964179391,0.5028248587570622,True
props_regular,2026_retrospective_descriptive,comparator_absence_proxy_only,decile,9.0,decile_9,178,0.10022522522522523,-0.35184561745686455,-0.6666139860251564,-0.03707724888857267,-0.03930722238540851,-0.1770739070177821,0.09845946224696508,-0.013278855975485185,1.0,1.86638900831838,0.5168539325842697,True
props_regular,2026_retrospective_descriptive,comparator_absence_proxy_only,decile,10.0,decile_10,178,0.10022522522522523,-0.17384090874770639,-0.5001153509109516,0.15243353341553886,0.06661316017772856,-0.039917245744864216,0.17314356610032133,0.0832482124616956,0.08426966292134831,1.8066394474608334,0.5674157303370787,True
