transition_id,team_raw,team,player_raw,player_id,status_before,status_after,reason_after,t_lower_utc_bound,t_upper_utc_bound,poll_interval_event,censor_type,tier,prev_capture_id,curr_capture_id
cap_20260818T174202351937_rm_13,Minnesota Lynx,Minnesota Lynx,Liatu King,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-16T03:57:14.114516+00:00,2026-08-18T17:42:16.396871+00:00,PT15M,interval,T0,cap_20260816T035702143648,cap_20260818T174202351937
cap_20260818T174202351937_rm_14,Los Angeles Sparks,Los Angeles Sparks,Tonie Morgan,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-18T17:42:16.396871+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260818T174202351937
cap_20260818T174202351937_rm_15,Los Angeles Sparks,Los Angeles Sparks,Alissa Pili,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-18T17:42:16.396871+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260818T174202351937
cap_20260818T174202351937_rm_16,Toronto Tempo,Toronto Tempo,Ornella Bankole,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-18T17:42:16.396871+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260818T174202351937
cap_20260818T174202351937_rm_17,Connecticut Sun,Connecticut Sun,Olivia Nelson-Ododa,,Available,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-08T03:57:18.014261+00:00,2026-08-18T17:42:16.396871+00:00,PT15M,interval,T0,cap_20260808T035703182761,cap_20260818T174202351937
cap_20260818T174202351937_rm_18,Las Vegas Aces,Las Vegas Aces,Justine Pissott,,Available,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-16T03:57:14.114516+00:00,2026-08-18T17:42:16.396871+00:00,PT15M,interval,T0,cap_20260816T035702143648,cap_20260818T174202351937
cap_20260818T174202351937_rm_19,Atlanta Dream,Atlanta Dream,Indya Nivar,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-08T03:57:18.014261+00:00,2026-08-18T17:42:16.396871+00:00,PT15M,interval,T0,cap_20260808T035703182761,cap_20260818T174202351937
cap_20260818T174202351937_rm_20,Phoenix Mercury,Phoenix Mercury,Shay Ciezki,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-17T03:57:16.545564+00:00,2026-08-18T17:42:16.396871+00:00,PT15M,interval,T0,cap_20260817T035702551662,cap_20260818T174202351937
cap_20260818T174202351937_rm_21,Phoenix Mercury,Phoenix Mercury,Kara Dunn,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-17T03:57:16.545564+00:00,2026-08-18T17:42:16.396871+00:00,PT15M,interval,T0,cap_20260817T035702551662,cap_20260818T174202351937
cap_20260818T174202351937_rm_22,Connecticut Sun,Connecticut Sun,Ashlon Jackson,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-08T03:57:18.014261+00:00,2026-08-18T17:42:16.396871+00:00,PT15M,interval,T0,cap_20260808T035703182761,cap_20260818T174202351937
cap_20260818T174202351937_rm_23,Seattle Storm,Seattle Storm,Taina Mair,,Available,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-17T03:57:16.545564+00:00,2026-08-18T17:42:16.396871+00:00,PT15M,interval,T0,cap_20260817T035702551662,cap_20260818T174202351937
cap_20260818T174202351937_rm_24,Seattle Storm,Seattle Storm,Katie Lou Samuelson,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-09T03:57:17.357969+00:00,2026-08-18T17:42:16.396871+00:00,PT15M,interval,T0,cap_20260809T035703321003,cap_20260818T174202351937
cap_20260818T174202351937_rm_25,Golden State Valkyries,Golden State Valkyries,Ashten Prechtel,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-18T03:57:14.749418+00:00,2026-08-18T17:42:16.396871+00:00,PT15M,interval,T0,cap_20260818T035702166906,cap_20260818T174202351937
cap_20260818T174202351937_rm_26,Golden State Valkyries,Golden State Valkyries,Miela Sowah,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-18T03:57:14.749418+00:00,2026-08-18T17:42:16.396871+00:00,PT15M,interval,T0,cap_20260818T035702166906,cap_20260818T174202351937
cap_20260818T174202351937_rm_27,Dallas Wings,Dallas Wings,Azzi Fudd,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-18T03:57:14.749418+00:00,2026-08-18T17:42:16.396871+00:00,PT15M,interval,T0,cap_20260818T035702166906,cap_20260818T174202351937
cap_20260818T174202351937_rm_28,Chicago Sky,Chicago Sky,Maddy Westbeld,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-17T03:57:16.545564+00:00,2026-08-18T17:42:16.396871+00:00,PT15M,interval,T0,cap_20260817T035702551662,cap_20260818T174202351937
cap_20260818T174202351937_rm_29,Las Vegas Aces,Las Vegas Aces,Chelsea Gray,,Questionable,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-09T04:57:16.902260+00:00,2026-08-18T17:42:16.396871+00:00,PT15M,interval,T0,cap_20260809T045702661164,cap_20260818T174202351937
