candidate,dependent,direction,coverage,skill_gain,scheme,p_correct_level,p_row_level_NAIVE,null_sd_correct,null_sd_row_NAIVE,inflation_sd_correct_over_row,familywise_p_correct
pl_pts_mean5,level_minutes,abstain on LOW,0.75,-0.005643217028114544,BETWEEN-block,0.9301745635910225,0.9900249376558603,0.0038366182712724043,0.002761061785598236,1.389544519171681,1.0
pl_usg_sd5,rate_ppm_refA,abstain on HIGH,0.75,-0.0010787096955242603,WITHIN-block,0.6807980049875312,0.7780548628428927,0.0014420180415458382,0.0015248791780879758,0.9456605233169778,1.0
pl_usg_sd5,rate_ppm_refA,abstain on LOW,0.75,-0.00048294314513241954,WITHIN-block,0.7007481296758105,0.6408977556109726,0.0011120291422243732,0.0015700704905271604,0.7082670166299367,1.0
pl_usg_sd5,rate_ppm_refB,abstain on HIGH,0.75,-0.0029347533269645787,WITHIN-block,0.6458852867830424,0.9650872817955112,0.0016756502762843692,0.001770551649317199,0.9464001103444637,1.0
pl_usg_sd5,rate_ppm_refB,abstain on LOW,0.75,0.0008255402774300924,WITHIN-block,0.5586034912718204,0.30423940149625933,0.001226446568162737,0.0017981366217141468,0.6820652854473188,1.0
pl_usg_sd5,rate_ppf_refA,abstain on HIGH,0.75,-0.00042305771993733643,WITHIN-block,0.371571072319202,0.5860349127182045,0.001833540302080224,0.001962889312057905,0.934102748849312,1.0
pl_usg_sd5,rate_ppf_refA,abstain on LOW,0.75,-0.0014873681026513763,WITHIN-block,0.8403990024937655,0.8104738154613467,0.0013873767820803639,0.0017653804854864726,0.785879754243491,1.0
pl_usg_sd5,level_points,abstain on HIGH,0.75,-0.006028754712430584,WITHIN-block,1.0,1.0,0.0015622235021979533,0.0018712282710071722,0.8348652734693348,1.0
pl_usg_sd5,level_points,abstain on LOW,0.75,0.0056081786935453515,WITHIN-block,0.0024937655860349127,0.007481296758104738,0.0017422673800884987,0.0020842466106834536,0.835921896745791,1.0
pl_usg_sd5,level_minutes,abstain on HIGH,0.75,-0.0012315921281406128,WITHIN-block,1.0,0.6508728179551122,0.0024761604833505348,0.002953273874337538,0.8384459378681814,1.0
pl_usg_sd5,level_minutes,abstain on LOW,0.75,0.0037720341071142416,WITHIN-block,0.0024937655860349127,0.10972568578553615,0.002424101563345429,0.0029406473142640343,0.8243428416549562,1.0
pl_usg_mean5,rate_ppm_refA,abstain on HIGH,0.75,0.00010775279532704296,BETWEEN-block,0.456359102244389,0.4713216957605985,0.0010477664734259875,0.0016107413943698087,0.6504870844496542,1.0
pl_usg_mean5,rate_ppm_refA,abstain on LOW,0.75,-0.0007223067688495455,BETWEEN-block,0.743142144638404,0.6907730673316709,0.0010463034706721952,0.0015845096630397932,0.6603326537402874,1.0
pl_usg_mean5,rate_ppm_refB,abstain on HIGH,0.75,0.0035771477348062186,BETWEEN-block,0.022443890274314215,0.022443890274314215,0.0017437328915291964,0.0018360947310540083,0.9496965826639067,1.0
pl_usg_mean5,rate_ppm_refB,abstain on LOW,0.75,-0.0025414425009443464,BETWEEN-block,0.9226932668329177,0.9177057356608479,0.0016263481908673604,0.0018304291961718123,0.8885064739290272,1.0
pl_usg_mean5,rate_ppf_refA,abstain on HIGH,0.75,0.001245160148925284,BETWEEN-block,0.26433915211970077,0.26433915211970077,0.0017426139554204856,0.0019352493037846012,0.9004596730832585,1.0
pl_usg_mean5,rate_ppf_refA,abstain on LOW,0.75,-0.005831798546305222,BETWEEN-block,1.0,0.9975062344139651,0.0016268018135523258,0.001880015068385941,0.8653131780209572,1.0
pl_usg_mean5,level_points,abstain on HIGH,0.75,0.004715864070311548,BETWEEN-block,0.004987531172069825,0.00997506234413965,0.0019474936693273737,0.0020705296801179886,0.9405775188967087,1.0
pl_usg_mean5,level_points,abstain on LOW,0.75,-0.004081474627892323,BETWEEN-block,0.9850374064837906,0.9900249376558603,0.0018632820870544658,0.0019561558300715846,0.9525223187287077,1.0
pl_usg_mean5,level_minutes,abstain on HIGH,0.75,0.009707229544497431,BETWEEN-block,0.0024937655860349127,0.0024937655860349127,0.0038845765213395126,0.0027560510967112096,1.40947188024742,1.0
pl_usg_mean5,level_minutes,abstain on LOW,0.75,-0.015162100499800157,BETWEEN-block,1.0,1.0,0.0036259206884812953,0.002946557300706056,1.2305617432291067,1.0
pl_min_cv5,rate_ppm_refA,abstain on HIGH,0.75,-0.0009124194037202216,BETWEEN-block,0.8428927680798005,0.7231920199501247,0.0010823729280155885,0.0015438233614552994,0.7010989437258415,1.0
pl_min_cv5,rate_ppm_refA,abstain on LOW,0.75,-4.865431455614022e-05,BETWEEN-block,0.40399002493765584,0.5935162094763092,0.0010779007757320198,0.0015718709164510094,0.6857438256862199,1.0
