subset,target,stage,denominator,exposure,n,rung,kind,mae,rmse,r2,sd_y,coverage
"DECISION (>=8 prior, >=24 trail-5 min)",y_ftm_given,C,CONDITIONAL_SUBSET(fta>0),fta,3733,O5   prior exposure x SEASON-MEAN rate,ORACLE,1.6489471155411104,2.1588520578674983,0.13127939184610105,2.3165463671579962,1.0
"DECISION (>=8 prior, >=24 trail-5 min)",y_ftm_given,C,CONDITIONAL_SUBSET(fta>0),fta,3733,O3   within-player-season OLS on ACTUAL exposure,ORACLE,0.5806740776998041,0.7498222853607864,0.8952024697034989,2.3165463671579962,1.0
"DECISION (>=8 prior, >=24 trail-5 min)",y_fta,AB,FULL_STRATUM,minutes,5111,REF  expanding prior mean (MATCHED),honest,1.9566739462777982,2.529507015480852,0.21063451772423558,2.8473398932158824,1.0
"DECISION (>=8 prior, >=24 trail-5 min)",y_fta,AB,FULL_STRATUM,minutes,5111,H1   EWMA prior (hl=5),honest,1.9670443623922724,2.548349055492519,0.19883091283702525,2.8473398932158824,1.0
"DECISION (>=8 prior, >=24 trail-5 min)",y_fta,AB,FULL_STRATUM,minutes,5111,H2   trailing-5 prior mean,honest,2.051340246527099,2.6767548693887386,0.11605843128757287,2.8473398932158824,1.0
"DECISION (>=8 prior, >=24 trail-5 min)",y_fta,AB,FULL_STRATUM,minutes,5111,H3   prior rate(floored) x prior exposure,honest,1.9575701335018871,2.529638441680383,0.21055248909189772,2.8473398932158824,1.0
"DECISION (>=8 prior, >=24 trail-5 min)",y_fta,AB,FULL_STRATUM,minutes,3552,H4   walk-forward OLS on B_COMPLETE,honest,1.9599286629369705,2.532109723747171,0.22877239141280015,2.8837152845880727,0.6949716298180395
"DECISION (>=8 prior, >=24 trail-5 min)",y_fta,AB,FULL_STRATUM,minutes,5111,O1   SEASON-MEAN target,ORACLE,1.871638820318343,2.427422064864503,0.27306271346494293,2.8473398932158824,1.0
"DECISION (>=8 prior, >=24 trail-5 min)",y_fta,AB,FULL_STRATUM,minutes,5111,O2   ACTUAL exposure x SEASON-MEAN rate,ORACLE,1.809534271911625,2.3504849002686927,0.3184130193734245,2.8473398932158824,1.0
"DECISION (>=8 prior, >=24 trail-5 min)",y_fta,AB,FULL_STRATUM,minutes,5111,O4   ACTUAL exposure x prior rate(floored),ORACLE,1.8965210321088533,2.4558248759693266,0.25595167501715765,2.8473398932158824,1.0
"DECISION (>=8 prior, >=24 trail-5 min)",y_fta,AB,FULL_STRATUM,minutes,5111,O5   prior exposure x SEASON-MEAN rate,ORACLE,1.8751617319954488,2.4329802345044325,0.26972990488777804,2.8473398932158824,1.0
"DECISION (>=8 prior, >=24 trail-5 min)",y_fta,AB,FULL_STRATUM,minutes,5111,O3   within-player-season OLS on ACTUAL exposure,ORACLE,1.7346729464096358,2.2856865086045515,0.3554751229871195,2.8473398932158824,1.0
"DECISION (>=8 prior, >=24 trail-5 min)",y_ftm,ABC,FULL_STRATUM,minutes,5111,REF  expanding prior mean (MATCHED),honest,1.6765563353640731,2.1896136550256946,0.20509682401422424,2.4561385812898857,1.0
"DECISION (>=8 prior, >=24 trail-5 min)",y_ftm,ABC,FULL_STRATUM,minutes,5111,H1   EWMA prior (hl=5),honest,1.6901495517559184,2.2094630964413464,0.19061947395668088,2.4561385812898857,1.0
"DECISION (>=8 prior, >=24 trail-5 min)",y_ftm,ABC,FULL_STRATUM,minutes,5111,H2   trailing-5 prior mean,honest,1.7667775386421445,2.321156513500189,0.10671899798266149,2.4561385812898857,1.0
