absence_game_id,absent_player_id,absent_player_name,top_absorber_id,top_absorber_name,delta_usage,season
1022300236,1627674,Kahleah Copper,1631021,Sika Koné,0.1296111111111111,2023
1022300238,1631022,Shakira Austin,1628278,Shatori Walker-Kimbrough,0.0736842105263158,2023
1022400001,1631141,Jade Melbourne,1628317,Karlie Samuelson,0.059,2024
1022400004,1631021,Sika Koné,1628508,Cecilia Zandalasini,0.0719999999999999,2024
1022400008,1631141,Jade Melbourne,1628279,Brittney Sykes,0.0296874999999999,2024
1022400013,203398,Brittney Griner,1630134,Sug Sutton,0.1027692307692307,2024
1022400014,1628279,Brittney Sykes,1631083,Emily Engstler,0.1230666666666666,2024
1022400016,203014,Nneka Ogwumike,1641675,Dulcy Fankam Mendjiadeu,0.1266,2024
1022400019,1631141,Jade Melbourne,1631022,Shakira Austin,0.0525555555555555,2024
1022400022,204330,Isabelle Harrison,1630446,Michaela Onyenwere,0.0401333333333333,2024
1022400023,203398,Brittney Griner,1630114,Mikiah Herbert Harrigan,0.244047619047619,2024
1022400026,204330,Isabelle Harrison,1629497,Marina Mabrey,0.06235,2024
1022400028,1628279,Brittney Sykes,1628317,Karlie Samuelson,0.0572,2024
1022400029,203398,Brittney Griner,1630134,Sug Sutton,0.1247692307692307,2024
1022400030,1631021,Sika Koné,1629501,Alanna Smith,0.0354117647058823,2024
1022400032,203398,Brittney Griner,1629482,Sophie Cunningham,0.0839,2024
1022400035,203398,Brittney Griner,1627674,Kahleah Copper,0.0672222222222222,2024
1022400036,1628279,Brittney Sykes,1628899,Myisha Hines-Allen,0.0682,2024
1022400037,1631021,Sika Koné,1627675,Courtney Williams,0.0107058823529412,2024
1022400041,203827,Natasha Howard,1641661,Lou Lopez Sénéchal,0.1337222222222222,2024
1022400043,203398,Brittney Griner,100940,Diana Taurasi,0.0803076923076923,2024
1022400047,1630149,Satou Sabally,1629481,Arike Ogunbowale,0.0761428571428571,2024
1022400048,203398,Brittney Griner,204333,Natasha Cloud,0.0784642857142857,2024
1022400049,1628279,Brittney Sykes,1631083,Emily Engstler,0.1150666666666666,2024
1022400051,203014,Nneka Ogwumike,1630461,Kiana Williams,0.3132,2024
1022400054,1628279,Brittney Sykes,1631141,Jade Melbourne,0.14525,2024
1022400056,1628279,Brittney Sykes,1631141,Jade Melbourne,0.15825,2024
1022400059,1631021,Sika Koné,1641657,Dorka Juhász,0.1513999999999999,2024
1022400062,1628279,Brittney Sykes,1631141,Jade Melbourne,0.3092499999999999,2024
1022400065,1641660,Zia Cooke,1630996,Rae Burrell,0.0766923076923076,2024
