scope,battery,perm_idx,n_eligible_cells_in_family,max_roi_over_eligible_cells,n_eligible_cells_perm_beats_obs
playoff,companion_playoff,90,134,0.19408917427062988,41
playoff,companion_playoff,91,134,0.23962165415287018,31
playoff,companion_playoff,92,134,0.0665312334895134,16
playoff,companion_playoff,93,134,0.04988783225417137,14
playoff,companion_playoff,94,134,0.0989304780960083,16
playoff,companion_playoff,95,134,0.029389187693595886,15
playoff,companion_playoff,96,134,0.11551909893751144,15
playoff,companion_playoff,97,134,0.10727272927761078,25
playoff,companion_playoff,98,134,0.0665312334895134,13
playoff,companion_playoff,99,134,0.13260231912136078,12
playoff,companion_playoff,100,134,0.05540860444307327,9
playoff,companion_playoff,101,134,0.046149954199790955,12
playoff,companion_playoff,102,134,0.09009001404047012,22
playoff,companion_playoff,103,134,0.06831955909729004,11
playoff,companion_playoff,104,134,0.08942687511444092,12
playoff,companion_playoff,105,134,-0.0249266866594553,6
playoff,companion_playoff,106,134,0.06779661029577255,13
playoff,companion_playoff,107,134,0.03496503457427025,12
playoff,companion_playoff,108,134,0.037746723741292953,11
playoff,companion_playoff,109,134,0.07757575809955597,25
playoff,companion_playoff,110,134,0.03057119809091091,10
playoff,companion_playoff,111,134,0.09624796360731125,14
playoff,companion_playoff,112,134,0.10850439965724945,17
playoff,companion_playoff,113,134,0.023103967308998108,7
playoff,companion_playoff,114,134,0.09331197291612625,19
playoff,companion_playoff,115,134,0.10868687182664871,28
playoff,companion_playoff,116,134,0.14659260213375092,25
playoff,companion_playoff,117,134,0.041842713952064514,11
playoff,companion_playoff,118,134,0.04180307313799858,19
playoff,companion_playoff,119,134,0.17305585741996765,19
playoff,companion_playoff,120,134,0.04727272689342499,10
playoff,companion_playoff,121,134,0.08620689809322357,13
playoff,companion_playoff,122,134,0.06193181872367859,14
playoff,companion_playoff,123,134,0.0525798536837101,16
playoff,companion_playoff,124,134,0.0315881110727787,7
playoff,companion_playoff,125,134,0.11363636702299118,32
playoff,companion_playoff,126,134,0.0979321077466011,31
playoff,companion_playoff,127,134,0.040762461721897125,4
playoff,companion_playoff,128,134,0.0441988967359066,14
playoff,companion_playoff,129,134,0.07862407714128494,17
playoff,companion_playoff,130,134,0.06649831682443619,12
playoff,companion_playoff,131,134,0.047780126333236694,14
playoff,companion_playoff,132,134,0.09173429012298584,31
playoff,companion_playoff,133,134,0.043257858604192734,10
playoff,companion_playoff,134,134,0.1308627724647522,38
playoff,companion_playoff,135,134,0.06433343142271042,12
playoff,companion_playoff,136,134,0.1309288591146469,23
playoff,companion_playoff,137,134,0.09721249341964722,22
playoff,companion_playoff,138,134,-0.010101010091602802,7
playoff,companion_playoff,139,134,0.09090909361839294,19
playoff,companion_playoff,140,134,0.08431749790906906,14
playoff,companion_playoff,141,134,0.05255082622170448,16
playoff,companion_playoff,142,134,0.09693621098995209,16
playoff,companion_playoff,143,134,0.179800346493721,32
playoff,companion_playoff,144,134,0.10942203551530838,19
playoff,companion_playoff,145,134,0.284621924161911,24
playoff,companion_playoff,146,134,0.10919248312711716,17
playoff,companion_playoff,147,134,0.046637896448373795,12
playoff,companion_playoff,148,134,0.08326253294944763,21
playoff,companion_playoff,149,134,0.0689704641699791,14
playoff,companion_playoff,150,134,0.07858243584632874,19
playoff,companion_playoff,151,134,0.1076507642865181,13
playoff,companion_playoff,152,134,0.10686653852462769,15
playoff,companion_playoff,153,134,0.03305784985423088,12
playoff,companion_playoff,154,134,-0.00013080444477964193,8
playoff,companion_playoff,155,134,0.08383547514677048,10
playoff,companion_playoff,156,134,0.09331197291612625,9
playoff,companion_playoff,157,134,0.06668402999639511,19
playoff,companion_playoff,158,134,0.03814616799354553,14
playoff,companion_playoff,159,134,0.0847107470035553,16
playoff,companion_playoff,160,134,0.05107252299785614,7
playoff,companion_playoff,161,134,0.06670454889535904,15
playoff,companion_playoff,162,134,0.18760856986045837,27
playoff,companion_playoff,163,134,0.14219114184379578,32
playoff,companion_playoff,164,134,0.10303030163049698,14
playoff,companion_playoff,165,134,0.1546248495578766,17
playoff,companion_playoff,166,134,0.14249184727668762,77
playoff,companion_playoff,167,134,0.07122446596622467,14
playoff,companion_playoff,168,134,0.136776864528656,25
playoff,companion_playoff,169,134,0.03194103017449379,7
playoff,companion_playoff,170,134,0.13079607486724854,26
playoff,companion_playoff,171,134,0.06408345699310303,17
playoff,companion_playoff,172,134,0.0700264498591423,13
playoff,companion_playoff,173,134,0.08324821293354034,16
playoff,companion_playoff,174,134,0.11854225397109985,32
playoff,companion_playoff,175,134,0.06850273907184601,19
playoff,companion_playoff,176,134,0.01515151560306549,10
playoff,companion_playoff,177,134,0.0005150656797923148,5
playoff,companion_playoff,178,134,0.06974921375513077,11
playoff,companion_playoff,179,134,0.03134796395897865,17
playoff,companion_playoff,180,134,0.04063178226351738,14
playoff,companion_playoff,181,134,0.17530351877212524,18
playoff,companion_playoff,182,134,0.12279866635799408,15
playoff,companion_playoff,183,134,0.07519999891519547,15
playoff,companion_playoff,184,134,0.07782623171806335,19
