candidate,dependent,sd_abs,mean_abs,sd_signed_recovered,fold_factor_sd
pl_usg_mean5,pts_sqres,0.9996094909269994,1.275686508608771,1.6206773900433642,1.6213105265141194
pl_usg_mean5,minutes_absres,0.9093842991907282,1.1406200376804836,1.4587645025749836,1.6041232555622034
pl_usg_mean5,minutes_sqres,0.7938366522598617,1.0412394670804155,1.3093342805704937,1.6493749398483109
pl_usg_mean5,fga_absres,0.9750227473913043,1.2551453216626083,1.5893580894254193,1.6300728302778404
pl_usg_mean5,fga_sqres,0.8727115951149399,1.113198550869421,1.414509293679558,1.6208210153243823
pl_start_frac5,pts_absres,1.6437084803051918,2.787777513320399,3.2362757966530094,1.9688867189223975
pl_start_frac5,pts_sqres,1.4032128215695763,2.2821700587639873,2.6790495329008146,1.9092253802984351
pl_start_frac5,minutes_absres,1.420770550837446,5.444296330937204,5.62662878615457,3.960265633911163
pl_start_frac5,minutes_sqres,1.2605042187092597,5.71425312952867,5.851628808606373,4.642292125446725
pl_start_frac5,fga_absres,1.5829296642540474,4.2914643114064255,4.574093599616263,2.8896379307995317
pl_start_frac5,fga_sqres,1.3805020062670221,4.167840745240564,4.390521867272124,3.18038064945984
pl_min_sd5,pts_absres,0.8227572230189347,3.4490021602515704,3.5457785251549243,4.309629166358984
pl_min_sd5,pts_sqres,0.8249072032630101,4.478958402908955,4.554288118793532,5.520970238565684
pl_min_sd5,minutes_absres,0.9242102409599094,12.096850901539568,12.132104776318652,13.126996692568483
pl_min_sd5,minutes_sqres,0.9900200961798086,9.48295108410594,9.534490078362131,9.630602565698288
pl_min_sd5,fga_absres,0.6833896349263492,0.9814538846034122,1.1959402663711498,1.750012299352535
pl_min_sd5,fga_sqres,0.8753134515876008,2.11223027483197,2.2864143046366157,2.612109182704355
pl_min_cv5,pts_absres,1.3731927620053694,2.0263932920522296,2.4478415258546065,1.7825913401115312
pl_min_cv5,pts_sqres,1.1751483030806935,1.7150020438361022,2.0789914729491894,1.7691311534884904
pl_min_cv5,minutes_absres,1.2904499463367665,3.6905074385229963,3.909617144656767,3.0296542347536204
pl_min_cv5,minutes_sqres,1.1536498567897886,3.901491546487008,4.068481815048543,3.5266175357311016
pl_min_cv5,fga_absres,1.4319967232559379,2.936511986547829,3.267065543045444,2.2814755718274977
