game_id,game_date,season,team_i,player_id,player_name,label,absence_game_id,absence_date,d_ft,d_stint,d_rim,d_min,days_rest,games_last7,score_micro,score_incumbent
1022300162,2023-08-06,2023,IND,1628927,Victoria Vivians,0,,,-0.045454545454545414,70.80933333333337,0.05767184507341988,5.568666666666665,2.0,2.0,-3.9583423467356242,-1.2058372791175989
1022300167,2023-08-08,2023,IND,1628927,Victoria Vivians,0,,,-0.10606060606060608,56.437435897435876,0.03518518518518518,4.218461538461536,2.0,2.0,-2.231831258917276,-0.7691307913885572
1022300171,2023-08-10,2023,IND,1628927,Victoria Vivians,0,,,-0.25,12.681358024691349,0.0704644246167925,2.32185185185185,2.0,3.0,0.4829195696174965,1.0178951378478813
1022300180,2023-08-13,2023,IND,1628927,Victoria Vivians,0,,,-0.1885714285714286,-12.211785714285696,0.11036036036036034,0.6865476190476194,3.0,3.0,0.5119684634810917,1.1299189828998426
1022300184,2023-08-18,2023,IND,1628927,Victoria Vivians,0,,,-0.06349206349206349,-20.157126436781567,0.038480038480038475,0.18218390804597462,5.0,1.0,0.6282044248733135,-1.8879234499575974
1022300191,2023-08-20,2023,IND,1628927,Victoria Vivians,0,,,0.022222222222222254,-5.972777777777736,0.016772823779193202,-0.22611111111110915,2.0,2.0,-0.16797890140825922,0.6684090836314921
1022300199,2023-08-24,2023,IND,1628927,Victoria Vivians,0,,,0.022222222222222254,-31.99892473118277,0.002201430930104553,-3.2247311827956953,4.0,2.0,1.6889329711182395,0.8044856249578545
1022300206,2023-08-27,2023,IND,1628927,Victoria Vivians,0,,,,-41.53385416666666,-0.008223684210526327,-5.406874999999998,3.0,2.0,3.0232500528296966,1.9271662667888905
1022300216,2023-09-01,2023,IND,1628927,Victoria Vivians,0,,,,-53.0035353535354,-0.007936507936507936,-8.306767676767677,5.0,1.0,4.260111196914065,0.857718788887937
1022300221,2023-09-03,2023,IND,1628927,Victoria Vivians,0,,,,-54.44362745098039,0.048484848484848464,-9.10470588235294,2.0,2.0,3.782559855490806,3.540076401080306
1022400028,2024-05-25,2024,SEA,1628927,Victoria Vivians,0,,,,0.0,0.0,0.0,3.0,3.0,0.0649669233346548,1.3519739826253896
1022400034,2024-05-28,2024,SEA,1628927,Victoria Vivians,0,,,,4.152222222222235,0.02870813397129185,-0.7911111111111104,3.0,2.0,-0.1824527504691259,0.4342567865954709
1022400038,2024-05-30,2024,SEA,1628927,Victoria Vivians,0,,,,9.760952380952347,0.05291005291005291,0.711904761904762,2.0,2.0,-1.1485484136142925,0.36501991054829086
1022400051,2024-06-04,2024,SEA,1628927,Victoria Vivians,0,,,,26.09250000000003,0.016977928692699484,-0.036249999999999005,5.0,2.0,-0.8451062537717111,-0.6436818982495848
1022400057,2024-06-07,2024,SEA,1628927,Victoria Vivians,0,,,,46.39185185185187,0.060869565217391286,0.6292592592592605,3.0,1.0,-2.198227963335398,-1.1987356593066076
1022400064,2024-06-09,2024,SEA,1628927,Victoria Vivians,0,,,,79.79333333333335,0.03134479271991911,1.2000000000000028,2.0,2.0,-2.8599695329565886,0.20715178173352633
1022400069,2024-06-11,2024,SEA,1628927,Victoria Vivians,0,,,,78.85757575757577,-0.010212765957446801,1.5393939393939355,2.0,3.0,-2.3751871401710303,1.2709710887587864
1022400072,2024-06-13,2024,SEA,1628927,Victoria Vivians,0,,,,64.11666666666667,-0.031862745098039214,-0.2224999999999966,2.0,3.0,-1.1192110299360478,1.8408330289564494
1022400078,2024-06-16,2024,SEA,1628927,Victoria Vivians,0,,,,45.525641025640994,-0.06119162640901771,-0.8797435897435903,3.0,3.0,-0.013559865130491677,1.636515734951407
