response,window,base,arm,candidate,is_negative_control,n,n_folds,n_blocks,signed_dr2,beta,rmse_base,rmse_aug,sst,vs_floor_single,vs_floor_132,vs_largest_live
y_pts,CLEAN_2023_24,B0_COMPLETE,UNFROZEN,G01_noise,True,3167,2,24,0.00019180915084451004,-0.0811032059203767,6.4071390309807335,6.406242172872867,189743.2023997474,0.1880481871024608,0.081620915252983,0.09324703492684008
y_pts,CLEAN_2023_24,B0_COMPLETE,FROZEN,A10_opp_defrtg,False,3167,2,24,0.00526011956518838,0.06320155033797056,6.4071390309807335,6.382498188471775,189743.2023997474,5.156979965870961,2.2383487511439917,2.557180148365766
y_pts,CLEAN_2023_24,B0_COMPLETE,FROZEN,G01_noise,True,3167,2,24,0.00018641132958989876,-0.08089987922703853,6.4071390309807335,6.406267413634675,189743.2023997474,0.1827562054802929,0.0793239700382548,0.09062291180840971
y_pts,CLEAN_2023_24,B0_COMPLETE,INTERCEPT_ONLY,A10_opp_defrtg,False,3167,2,24,3.566209748549914e-14,2.1384737293076573e-14,6.4071390309807335,6.4071390309805665,189743.2023997474,3.496284067205798e-11,1.5175360632127294e-11,1.7336945787797347e-11
y_pts,CLEAN_2023_24,B1_HONEST,UNFROZEN,A10_opp_defrtg,False,3167,2,24,0.004520751537274385,0.05678709536847733,6.400557914857735,6.379364517368926,189743.2023997474,4.4321093502690045,1.9237240584146318,2.19774017368711
y_pts,CLEAN_2023_24,B1_HONEST,UNFROZEN,G01_noise,True,3167,2,24,0.00018517717305250803,-0.08217126295457086,6.400557914857735,6.3996911781471955,189743.2023997474,0.18154624809069414,0.07879879704362043,0.0900229329375343
y_pts,CLEAN_2023_24,B1_HONEST,FROZEN,A10_opp_defrtg,False,3167,2,24,0.004615680387169523,0.054459716766431326,6.400557914857735,6.378918733712432,189743.2023997474,4.525176850166198,1.9641193136891584,2.243889347189851
y_pts,CLEAN_2023_24,B1_HONEST,FROZEN,G01_noise,True,3167,2,24,0.00017376877033288633,-0.08195521171438185,6.400557914857735,6.399744579490445,189743.2023997474,0.17036153954204541,0.07394415758846226,0.08447679646712997
y_pts,CLEAN_2023_24,B1_HONEST,INTERCEPT_ONLY,A10_opp_defrtg,False,3167,2,24,-6.38850047428404e-14,-7.80747541404804e-12,6.400557914857735,6.400557914858035,189743.2023997474,-6.263235759102e-11,-2.7185108401208678e-11,-3.105736740050579e-11
y_pts,CLEAN_2023_24,B2_FAMILY,UNFROZEN,A10_opp_defrtg,False,3167,2,24,0.0023838285871515623,0.07239380565504978,6.389443632624922,6.3782574867463335,189743.2023997474,2.3370868501485904,1.01439514346875,1.1588860413959954
y_pts,CLEAN_2023_24,B2_FAMILY,UNFROZEN,G01_noise,True,3167,2,24,0.00016848717943850313,-0.08053879453775328,6.389443632624922,6.388653647647531,189743.2023997474,0.16518350925343445,0.0716966721014907,0.0819091781421989
