game_id,season,season_type,game_date,team_id,team_abbreviation,opp_team_id,opp_team_abbreviation,is_home,wl,minutes,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,points_paint,points_fast_break,points_second_chance,points_off_turnovers,fouls_drawn,opp_fgm,opp_fga,opp_fg_pct,opp_fg3m,opp_fg3a,opp_fg3_pct,opp_ftm,opp_fta,opp_ft_pct,opp_oreb,opp_dreb,opp_reb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_plus_minus,opp_points_paint,opp_points_fast_break,opp_points_second_chance,opp_points_off_turnovers,opp_fouls_drawn,box_source,opp_box_source,in_misc,era,source,observed_time
1022100021,2021,Regular Season,2021-05-23,1611661322,WAS,1611661325,IND,0,L,200.0,27,70,0.386,9,27,0.333,14,17,0.824,9,23,32,15,6,3,11,21,77,-12,28,4,10,20,13,33,64,0.516,7,15,0.467,16,23,0.696,7,30,37,26,6,4,14,13,89,12,42,6,9,12,21,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2021_regular_season.parquet+misc_1022100021.parquet,2026-07-31T20:42:42+00:00
1022100021,2021,Regular Season,2021-05-23,1611661325,IND,1611661322,WAS,1,W,200.0,33,64,0.516,7,15,0.467,16,23,0.696,7,30,37,26,6,4,14,13,89,12,42,6,9,12,21,27,70,0.386,9,27,0.333,14,17,0.824,9,23,32,15,6,3,11,21,77,-12,28,4,10,20,13,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2021_regular_season.parquet+misc_1022100021.parquet,2026-07-31T20:42:42+00:00
1022100022,2021,Regular Season,2021-05-23,1611661319,LVA,1611661323,CON,1,L,200.0,22,54,0.407,5,16,0.313,16,21,0.762,1,25,26,16,4,13,14,15,65,-7,24,0,2,7,17,27,80,0.338,7,26,0.269,11,12,0.917,12,32,44,16,10,2,11,17,72,7,32,2,12,14,15,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2021_regular_season.parquet+misc_1022100022.parquet,2026-07-31T20:42:42+00:00
1022100022,2021,Regular Season,2021-05-23,1611661323,CON,1611661319,LVA,0,W,200.0,27,80,0.338,7,26,0.269,11,12,0.917,12,32,44,16,10,2,11,17,72,7,32,2,12,14,15,22,54,0.407,5,16,0.313,16,21,0.762,1,25,26,16,4,13,14,15,65,-7,24,0,2,7,17,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2021_regular_season.parquet+misc_1022100022.parquet,2026-07-31T20:42:42+00:00
1022100023,2021,Regular Season,2021-05-25,1611661322,WAS,1611661325,IND,0,W,200.0,34,68,0.5,12,28,0.429,5,6,0.833,5,21,26,25,0,2,10,14,85,16,34,8,2,11,10,28,64,0.438,5,14,0.357,8,10,0.8,7,26,33,21,5,2,15,10,69,-16,20,9,6,13,14,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2021_regular_season.parquet+misc_1022100023.parquet,2026-07-31T20:42:42+00:00
1022100023,2021,Regular Season,2021-05-25,1611661325,IND,1611661322,WAS,1,L,200.0,28,64,0.438,5,14,0.357,8,10,0.8,7,26,33,21,5,2,15,10,69,-16,20,9,6,13,14,34,68,0.5,12,28,0.429,5,6,0.833,5,21,26,25,0,2,10,14,85,16,34,8,2,11,10,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2021_regular_season.parquet+misc_1022100023.parquet,2026-07-31T20:42:42+00:00
1022100024,2021,Regular Season,2021-05-24,1611661313,NYL,1611661321,DAL,1,W,200.0,28,60,0.467,10,25,0.4,22,27,0.815,10,23,33,19,7,3,15,23,88,7,34,5,9,20,23,29,70,0.414,7,21,0.333,16,22,0.727,11,23,34,17,9,2,13,23,81,-7,36,14,13,16,23,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2021_regular_season.parquet+misc_1022100024.parquet,2026-07-31T20:42:42+00:00
1022100024,2021,Regular Season,2021-05-24,1611661321,DAL,1611661313,NYL,0,L,200.0,29,70,0.414,7,21,0.333,16,22,0.727,11,23,34,17,9,2,13,23,81,-7,36,14,13,16,23,28,60,0.467,10,25,0.4,22,27,0.815,10,23,33,19,7,3,15,23,88,7,34,5,9,20,23,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2021_regular_season.parquet+misc_1022100024.parquet,2026-07-31T20:42:42+00:00
1022100025,2021,Regular Season,2021-05-25,1611661329,CHI,1611661330,ATL,1,L,200.0,25,62,0.403,6,17,0.353,27,28,0.964,13,28,41,22,5,5,21,22,83,-7,28,5,16,7,21,31,74,0.419,8,18,0.444,20,25,0.8,15,17,32,17,11,6,10,21,90,7,36,10,12,19,22,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2021_regular_season.parquet+misc_1022100025.parquet,2026-07-31T20:42:42+00:00
1022100025,2021,Regular Season,2021-05-25,1611661330,ATL,1611661329,CHI,0,W,200.0,31,74,0.419,8,18,0.444,20,25,0.8,15,17,32,17,11,6,10,21,90,7,36,10,12,19,22,25,62,0.403,6,17,0.353,27,28,0.964,13,28,41,22,5,5,21,22,83,-7,28,5,16,7,21,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2021_regular_season.parquet+misc_1022100025.parquet,2026-07-31T20:42:42+00:00
