response,window,population,row_set,candidate,arm,projection,weighting,base,n,n_folds,sst,r2_base,r2_aug,dr2,beta,sign
M_level_min,CLEAN_2023_24,ALL_APPEARED,all appeared,A5_opp_defrtg,FROZEN,PROJ_BUDGET,none,"B_TUNED (h,k) walk-forward",9056,2,1065787.3907900227,0.6638512158653733,0.6638070584031235,-4.4157462249745206e-05,-0.0050765734220908345,-
M_level_min,CLEAN_2023_24,ALL_APPEARED,all appeared,A5_opp_defrtg,FROZEN,PROJ_ORACLE,none,"B_TUNED (h,k) walk-forward",9056,2,1065787.3907900227,0.6682232592551522,0.6681787957637477,-4.4463491404589916e-05,-0.0050765734220908345,-
M_level_min,CLEAN_2023_24,ALL_APPEARED,all appeared,A5_opp_defrtg,UNFROZEN,RAW,none,"B_TUNED (h,k) walk-forward",9056,2,1065787.3907900227,0.6439588769893809,0.6439341693587395,-2.47076306413522e-05,-0.005077060514715095,-
M_level_min,CLEAN_2023_24,ALL_APPEARED,all appeared,A5_opp_defrtg,UNFROZEN,PROJ_BUDGET,none,"B_TUNED (h,k) walk-forward",9056,2,1065787.3907900227,0.6638512158653733,0.663807555909584,-4.365995578937128e-05,-0.005077060514715095,-
M_level_min,CLEAN_2023_24,ALL_APPEARED,all appeared,A5_opp_defrtg,UNFROZEN,PROJ_ORACLE,none,"B_TUNED (h,k) walk-forward",9056,2,1065787.3907900227,0.6682232592551522,0.6681794382468387,-4.382100831357402e-05,-0.005077060514715095,-
M_level_min,CLEAN_2023_24,ALL_APPEARED,all appeared,G01_noise,FROZEN,RAW,none,"B_TUNED (h,k) walk-forward",9056,2,1065787.3907900227,0.6439588769893809,0.6439229589616258,-3.591802775518005e-05,0.03503334776196116,-
M_level_min,CLEAN_2023_24,ALL_APPEARED,all appeared,G01_noise,FROZEN,PROJ_BUDGET,none,"B_TUNED (h,k) walk-forward",9056,2,1065787.3907900227,0.6638512158653733,0.6637838082694527,-6.740759592055556e-05,0.03503334776196116,-
M_level_min,CLEAN_2023_24,ALL_APPEARED,all appeared,G01_noise,FROZEN,PROJ_ORACLE,none,"B_TUNED (h,k) walk-forward",9056,2,1065787.3907900227,0.6682232592551522,0.6681554904699519,-6.776878520039054e-05,0.03503334776196116,-
M_level_min,CLEAN_2023_24,ALL_APPEARED,all appeared,G01_noise,UNFROZEN,RAW,none,"B_TUNED (h,k) walk-forward",9056,2,1065787.3907900227,0.6439588769893809,0.6439226150434378,-3.626194594309926e-05,0.03503607541779087,-
M_level_min,CLEAN_2023_24,ALL_APPEARED,all appeared,G01_noise,UNFROZEN,PROJ_BUDGET,none,"B_TUNED (h,k) walk-forward",9056,2,1065787.3907900227,0.6638512158653733,0.6637829811429078,-6.823472246549221e-05,0.03503607541779087,-
