outcome,candidate,component,entity_level,n,scheme,n_groups,var_share_between,dr2,dr2_sign,null_mean,null_sd,p_correct_level,p_row_level_NAIVE,null_sd_row_NAIVE,inflation_correct_over_row,corr_with_ref_residual,corr_with_abs_resid,spread_y_top_minus_bottom_decile,spread_refresidual_top_minus_bottom_decile,mae_reference,mae_with_candidate,skill_vs_reference,paired_dr2_cand_minus_ref,paired_p_cluster,paired_p_row_NAIVE,dr2_over_refA,cell_key,t_correct_level,p_familywise_maxt
ts,B04_matchup_ftrate,within,opp_team_season,14073,within,48,1.2203896949214268e-32,0.00010508147813036598,1.0,6.902093128194559e-05,9.184822664178678e-05,0.22795341098169716,0.2146422628951747,0.0001012496542599146,0.9071460768251738,0.01809771517657571,-0.03706340915609306,0.06394207138902164,0.03263075162439769,0.20579720106275973,0.20153396023343878,0.020715737664580014,0.0523507938316366,0.0004997501249375312,0.0004997501249375312,0.0004569124627345781,ts|B04_matchup_ftrate|within,0.39261015881186845,1.0
ts,B05_matchup_fouldraw,between,opp_team_season,14079,between,48,1.0,0.0014759827829293718,1.0,0.00012955006980540918,0.00017065478213813657,0.0016638935108153079,0.0016638935108153079,0.00011229735470832436,1.5196687631813495,0.05309347343889158,-0.21565019851561842,0.08571974207758998,0.0578465856194948,0.20586982115596403,0.20116315109887314,0.022862360450224384,0.05510260566957829,0.0004997501249375312,0.0004997501249375312,0.003068309555016545,ts|B05_matchup_fouldraw|between,7.889803592108494,0.07154742096505824
ts,B05_matchup_fouldraw,within,opp_team_season,14079,within,48,1.5594727434011e-32,0.0023643249061343703,1.0,7.120773279964978e-05,0.00010358429621317823,0.0016638935108153079,0.0016638935108153079,9.677402301629753e-05,1.0703729470431729,0.05309347343889158,-0.21565019851561842,0.08571974207758998,0.0578465856194948,0.20586982115596403,0.20116315109887314,0.022862360450224384,0.05510260566957829,0.0004997501249375312,0.0004997501249375312,0.003068309555016545,ts|B05_matchup_fouldraw|within,22.137691302313304,0.0016638935108153079
ts,B06_pl_ftpts_per36,between,player_season,14079,between,596,1.0,0.004120339724229175,1.0,0.00010021809521963138,0.000149301712465664,0.0016638935108153079,0.0016638935108153079,0.00010035892888895796,1.487677420619532,0.04081133963445821,-0.22562981376304883,0.06738967606538698,0.03566163110865475,0.20586982115596403,0.20136029411605286,0.021904750364041048,0.05391649201066366,0.0004997501249375312,0.0004997501249375312,0.0020055489505086117,ts|B06_pl_ftpts_per36|between,26.926158867294166,0.0016638935108153079
ts,B06_pl_ftpts_per36,within,player_season,14079,within,596,1.1050599798380278e-31,0.002491490174947065,-1.0,7.56356832117794e-05,0.00010371451775738535,0.0016638935108153079,0.0016638935108153079,0.00010463954573621867,0.9911598624370448,0.04081133963445821,-0.22562981376304883,0.06738967606538698,0.03566163110865475,0.20586982115596403,0.20136029411605286,0.021904750364041048,0.05391649201066366,0.0004997501249375312,0.0004997501249375312,0.0020055489505086117,ts|B06_pl_ftpts_per36|within,23.293310753144358,0.0016638935108153079
ts,C01_tm_usage_hhi,between,team_season,14079,between,48,1.0000000000000007,6.162149443604133e-05,1.0,0.0001280317873283077,0.00015689542456676008,0.5207986688851913,0.49417637271214643,0.00014123076742232564,1.1109153297849899,0.0061110398754059365,0.026079312645005504,0.019251873644116624,0.013614183137992338,0.20586982115596403,0.20164858695129814,0.020504385640224276,0.05215966756744487,0.0004997501249375312,0.0004997501249375312,5.073038882738266e-05,ts|C01_tm_usage_hhi|between,-0.4232774351173531,1.0
ts,C01_tm_usage_hhi,within,team_season,14079,within,48,6.537052197215016e-31,8.517091349546383e-07,-1.0,6.957741808504963e-05,9.494314905066031e-05,0.891846921797005,0.9184692179700499,0.00011037947372527065,0.8601522171320491,0.0061110398754059365,0.026079312645005504,0.019251873644116624,0.013614183137992338,0.20586982115596403,0.20164858695129814,0.020504385640224276,0.05215966756744487,0.0004997501249375312,0.0004997501249375312,5.073038882738266e-05,ts|C01_tm_usage_hhi|within,-0.7238616965761683,1.0
ts,C02_tm_ast_per_game,between,team_season,14079,between,48,1.0000000000000002,0.0012647519238759514,1.0,7.972642274032295e-05,0.00010795173732809235,0.0016638935108153079,0.0016638935108153079,8.696871415383131e-05,1.2412709372377981,0.025394958240055505,0.004146077965613824,0.054268944849563294,0.03313083289985235,0.20586982115596403,0.2016242381998723,0.02062265820338638,0.05279084566525242,0.0004997501249375312,0.0004997501249375312,0.0008940271890720154,ts|C02_tm_ast_per_game|between,10.977363870801257,0.0066555740432612314
ts,C02_tm_ast_per_game,within,team_season,14079,within,48,3.828211265319542e-30,0.00031906356280565453,-1.0,7.022248568923741e-05,0.00010043175679973306,0.033277870216306155,0.036605657237936774,0.00010620922448812392,0.945602957593981,0.025394958240055505,0.004146077965613824,0.054268944849563294,0.03313083289985235,0.20586982115596403,0.2016242381998723,0.02062265820338638,0.05279084566525242,0.0004997501249375312,0.0004997501249375312,0.0008940271890720154,ts|C02_tm_ast_per_game|within,2.4777130764785995,0.9966722129783694
ts,C03_tm_ast_rate,between,team_season,14079,between,48,0.9999999999999991,0.0008783187598877621,1.0,7.765249238180726e-05,0.00010965345500997905,0.0016638935108153079,0.0016638935108153079,9.244409174556026e-05,1.186159687866102,0.026663917709303434,0.00921990524275447,0.05263492332591552,0.03660785937195519,0.20586982115596403,0.20168348010655832,0.02033489428367552,0.05283823173211557,0.0004997501249375312,0.0004997501249375312,0.0009272149799296741,ts|C03_tm_ast_rate|between,7.30178786827182,0.1264559068219634
ts,C03_tm_ast_rate,within,team_season,14079,within,48,4.4819230921199725e-30,1.0236757612974992e-05,-1.0,6.648875025656753e-05,9.375377720082024e-05,0.7121464226289518,0.6871880199667221,9.233330380329576e-05,1.015384193341014,0.026663917709303434,0.00921990524275447,0.05263492332591552,0.03660785937195519,0.20586982115596403,0.20168348010655832,0.02033489428367552,0.05283823173211557,0.0004997501249375312,0.0004997501249375312,0.0009272149799296741,ts|C03_tm_ast_rate|within,-0.5999970808973486,1.0
ts,C04_teammate_usg_present,between,team_season,14079,between,48,0.9999999999999984,7.282301187517484e-05,1.0,0.00010188700366165177,0.00013615487990744865,0.4176372712146423,0.2978369384359401,0.00010041193409243373,1.3559631246830872,-0.022155590689572853,0.21821959787404896,-0.021271657191323845,-0.010538703291021695,0.20586982115596403,0.20163298759631174,0.020580158548068717,0.052613380132527705,0.0004997501249375312,0.0004997501249375312,0.00047016806823956496,ts|C04_teammate_usg_present|between,-0.21346272572994227,1.0
ts,C04_teammate_usg_present,within,team_season,14079,within,48,2.4898419680852444e-31,0.000759595154842003,-1.0,7.676861123485588e-05,0.00011112408325384752,0.004991680532445923,0.0016638935108153079,9.885691735348906e-05,1.1240901115345723,-0.022155590689572853,0.21821959787404896,-0.021271657191323845,-0.010538703291021695,0.20586982115596403,0.20163298759631174,0.020580158548068717,0.052613380132527705,0.0004997501249375312,0.0004997501249375312,0.00047016806823956496,ts|C04_teammate_usg_present|within,6.14472150062489,0.30615640599001664
