game_id,season,season_type,game_date,team_abbreviation,opp_team_abbreviation,pts,opp_pts,margin_true,bookie_margin,n_books,era_file,bookie_margin_t65,bookie_err,bookie_err_t65,both_playoff_teams,err_str,str_margin_cal
1022200109,2022,Regular Season,2022-06-25,LVA,WAS,86,87,-1.0,9.5,14,master_odds.csv,9.5,10.5,10.5,True,,
1022200110,2022,Regular Season,2022-06-26,ATL,CON,61,72,-11.0,-8.115384615384615,13,master_odds.csv,-8.115384615384615,2.884615384615385,2.884615384615385,False,,
1022200111,2022,Regular Season,2022-06-26,CHI,MIN,88,85,3.0,5.678571428571429,14,master_odds.csv,5.678571428571429,2.678571428571429,2.678571428571429,False,,
1022200112,2022,Regular Season,2022-06-27,PHO,IND,83,71,12.0,7.0,14,master_odds.csv,7.0,-5.0,-5.0,False,,
1022200113,2022,Regular Season,2022-06-27,LAS,LVA,73,79,-6.0,-8.107142857142858,14,master_odds.csv,-8.107142857142858,-2.1071428571428577,-2.1071428571428577,False,,
1022200114,2022,Regular Season,2022-06-28,WAS,ATL,92,74,18.0,7.5,14,master_odds.csv,7.5,-10.5,-10.5,False,,
1022200115,2022,Regular Season,2022-06-28,MIN,DAL,92,64,28.0,3.0357142857142856,14,master_odds.csv,3.0357142857142856,-24.964285714285715,-24.964285714285715,False,,
1022200116,2022,Regular Season,2022-06-29,CHI,CON,91,83,8.0,2.0,13,master_odds.csv,2.0,-6.0,-6.0,True,,
1022200117,2022,Regular Season,2022-06-29,PHO,IND,99,78,21.0,7.0,14,master_odds.csv,7.0,-14.0,-14.0,False,,
1022200118,2022,Regular Season,2022-06-29,SEA,LVA,88,78,10.0,-0.2857142857142857,14,master_odds.csv,-0.2857142857142857,-10.285714285714286,-10.285714285714286,True,,
1022200119,2022,Regular Season,2022-06-30,NYL,ATL,81,92,-11.0,5.5,14,master_odds.csv,5.5,16.5,16.5,False,,
1022200120,2022,Regular Season,2022-07-01,DAL,LAS,89,97,-8.0,4.678571428571429,14,master_odds.csv,4.678571428571429,12.678571428571429,12.678571428571429,False,,
1022200121,2022,Regular Season,2022-07-01,MIN,LVA,85,91,-6.0,-4.535714285714286,14,master_odds.csv,-4.535714285714286,1.4642857142857144,1.4642857142857144,False,,
1022200122,2022,Regular Season,2022-07-01,SEA,IND,73,57,16.0,13.357142857142858,14,master_odds.csv,13.357142857142858,-2.6428571428571423,-2.6428571428571423,False,,
1022200123,2022,Regular Season,2022-07-02,CHI,PHO,91,75,16.0,8.821428571428571,14,master_odds.csv,8.821428571428571,-7.178571428571429,-7.178571428571429,True,,
1022200124,2022,Regular Season,2022-07-03,CON,WAS,74,72,2.0,7.115384615384615,13,master_odds.csv,7.115384615384615,5.115384615384615,5.115384615384615,True,,
1022200125,2022,Regular Season,2022-07-03,ATL,SEA,90,76,14.0,-5.5,14,master_odds.csv,-5.5,-19.5,-19.5,False,,
1022200126,2022,Regular Season,2022-07-03,MIN,LVA,102,71,31.0,-5.107142857142857,14,master_odds.csv,-5.107142857142857,-36.107142857142854,-36.107142857142854,False,,
1022200127,2022,Regular Season,2022-07-03,LAS,NYL,84,74,10.0,4.0,14,master_odds.csv,4.0,-6.0,-6.0,False,,
1022200128,2022,Regular Season,2022-07-04,LAS,PHO,78,75,3.0,-0.07692307692307693,13,master_odds.csv,-0.07692307692307693,-3.076923076923077,-3.076923076923077,False,,
1022200129,2022,Regular Season,2022-07-05,IND,SEA,73,95,-22.0,-10.892857142857142,14,master_odds.csv,-10.892857142857142,11.107142857142858,11.107142857142858,False,,
1022200130,2022,Regular Season,2022-07-05,DAL,CON,82,71,11.0,-4.884615384615385,13,master_odds.csv,-4.884615384615385,-15.884615384615385,-15.884615384615385,True,,
1022200131,2022,Regular Season,2022-07-06,MIN,CHI,81,78,3.0,-1.5357142857142858,14,master_odds.csv,-1.5357142857142858,-4.535714285714286,-4.535714285714286,False,,
1022200132,2022,Regular Season,2022-07-06,ATL,WAS,66,85,-19.0,-5.464285714285714,14,master_odds.csv,-5.464285714285714,13.535714285714285,13.535714285714285,False,,
1022200133,2022,Regular Season,2022-07-06,LVA,NYL,107,116,-9.0,11.464285714285714,14,master_odds.csv,11.464285714285714,20.464285714285715,20.464285714285715,True,,
1022200134,2022,Regular Season,2022-07-07,IND,CHI,84,93,-9.0,-9.285714285714286,14,master_odds.csv,-9.285714285714286,-0.2857142857142865,-0.2857142857142865,False,,
1022200135,2022,Regular Season,2022-07-07,PHO,NYL,84,81,3.0,4.5,14,master_odds.csv,4.5,1.5,1.5,True,,
1022200136,2022,Regular Season,2022-07-07,LAS,SEA,69,106,-37.0,-4.678571428571429,14,master_odds.csv,-4.678571428571429,32.32142857142857,32.32142857142857,False,,
1022200137,2022,Regular Season,2022-07-12,SEA,DAL,83,74,9.0,8.892857142857142,14,master_odds.csv,8.892857142857142,-0.10714285714285765,-0.10714285714285765,True,,
1022200138,2022,Regular Season,2022-07-12,NYL,LVA,101,107,-6.0,-6.75,14,master_odds.csv,-6.75,-0.75,-0.75,True,,
1022200139,2022,Regular Season,2022-07-12,CHI,ATL,90,75,15.0,8.964285714285714,14,master_odds.csv,8.964285714285714,-6.0357142857142865,-6.0357142857142865,False,,
1022200140,2022,Regular Season,2022-07-12,MIN,PHO,118,107,11.0,7.5,14,master_odds.csv,7.5,-3.5,-3.5,False,,
1022200141,2022,Regular Season,2022-07-12,LAS,WAS,81,94,-13.0,-4.321428571428571,14,master_odds.csv,-4.321428571428571,8.678571428571429,8.678571428571429,False,,
1022200142,2022,Regular Season,2022-07-13,IND,CON,81,89,-8.0,-9.615384615384615,13,master_odds.csv,-9.615384615384615,-1.615384615384615,-1.615384615384615,False,,
1022200143,2022,Regular Season,2022-07-14,NYL,LVA,74,108,-34.0,-6.076923076923077,13,master_odds.csv,-6.076923076923077,27.923076923076923,27.923076923076923,True,,
1022200144,2022,Regular Season,2022-07-14,MIN,DAL,87,92,-5.0,4.678571428571429,14,master_odds.csv,4.678571428571429,9.678571428571429,9.678571428571429,False,,
1022200145,2022,Regular Season,2022-07-14,PHO,WAS,80,75,5.0,-4.5,14,master_odds.csv,-4.5,-9.5,-9.5,True,,
1022200146,2022,Regular Season,2022-07-14,LAS,CHI,68,80,-12.0,-5.928571428571429,14,master_odds.csv,-5.928571428571429,6.071428571428571,6.071428571428571,False,,
1022200147,2022,Regular Season,2022-07-15,IND,MIN,77,87,-10.0,-4.071428571428571,14,master_odds.csv,-4.071428571428571,5.928571428571429,5.928571428571429,False,,
1022200148,2022,Regular Season,2022-07-15,ATL,CON,68,93,-25.0,-7.6923076923076925,13,master_odds.csv,-7.6923076923076925,17.307692307692307,17.307692307692307,False,,
1022200149,2022,Regular Season,2022-07-16,DAL,CHI,81,89,-8.0,-4.464285714285714,14,master_odds.csv,-4.464285714285714,3.5357142857142856,3.5357142857142856,True,,
1022200150,2022,Regular Season,2022-07-17,CON,LVA,83,91,-8.0,-3.576923076923077,13,master_odds.csv,-3.576923076923077,4.423076923076923,4.423076923076923,True,,
1022200151,2022,Regular Season,2022-07-17,WAS,MIN,70,57,13.0,5.035714285714286,14,master_odds.csv,5.035714285714286,-7.964285714285714,-7.964285714285714,False,,
1022200152,2022,Regular Season,2022-07-17,PHO,ATL,75,85,-10.0,6.178571428571429,14,master_odds.csv,6.178571428571429,16.17857142857143,16.17857142857143,False,,
1022200153,2022,Regular Season,2022-07-17,SEA,IND,81,65,16.0,14.285714285714286,14,master_odds.csv,14.285714285714286,-1.7142857142857135,-1.7142857142857135,False,,
1022200154,2022,Regular Season,2022-07-19,CON,NYL,82,63,19.0,5.653846153846154,13,master_odds.csv,5.653846153846154,-13.346153846153847,-13.346153846153847,True,,
1022200155,2022,Regular Season,2022-07-19,LVA,ATL,76,92,-16.0,13.0,14,master_odds.csv,13.0,29.0,29.0,False,,
