game_id,team_id,season,season_type,game_date,team_abbreviation,n_played,team_total_min,ot_game,top5_share,top7_share,starter_min_avg_raw,starter_min_avg_n40,starter_share,bench_share,max_min_n40,n_35plus_n40,n_30plus_n40,dressed_n,n_dnp,n_dnp_cd
1022100046,1611661321,2021,Regular Season,2021-06-04,DAL,11,225.0,1,0.7102962962962964,0.8650370370370372,28.083333333333336,24.962962962962962,0.6240740740740741,0.3759259259259259,35.525925925925925,1,2,12,1,1
1022100046,1611661328,2021,Regular Season,2021-06-04,SEA,10,225.01666666666665,1,0.6933560477001703,0.8514184134508554,31.20333333333333,27.734241908006815,0.6933560477001703,0.30664395229982966,32.397600177764616,0,2,12,2,2
1022100047,1611661319,2021,Regular Season,2021-06-05,LVA,9,200.0,0,0.7925833333333334,0.9856666666666668,31.70333333333333,31.70333333333333,0.7925833333333333,0.2074166666666667,37.55,1,4,10,1,1
1022100047,1611661322,2021,Regular Season,2021-06-05,WAS,9,200.0,0,0.8085000000000002,0.9617500000000002,32.239999999999995,32.239999999999995,0.8059999999999999,0.19400000000000006,36.3,2,4,12,3,2
1022100048,1611661320,2021,Regular Season,2021-06-05,LAS,8,199.98333333333335,0,0.7994832902741893,0.9818318193182762,31.976666666666667,31.979331610967577,0.7994832902741894,0.2005167097258106,34.41953496124677,0,4,9,1,1
1022100048,1611661329,2021,Regular Season,2021-06-05,CHI,9,200.01666666666665,0,0.7440213315557037,0.9127572702274811,26.82,26.81776518623448,0.6704441296558621,0.3295558703441379,34.43046412798933,0,3,9,0,0
1022100049,1611661313,2021,Regular Season,2021-06-05,NYL,10,199.99999999999997,0,0.6303333333333334,0.8265833333333334,24.456666666666667,24.456666666666674,0.6114166666666667,0.3885833333333333,31.33333333333334,0,1,12,2,0
1022100049,1611661323,2021,Regular Season,2021-06-05,CON,10,200.0,0,0.7372500000000001,0.9072500000000001,29.49,29.49,0.73725,0.26275000000000004,34.35,0,2,11,1,0
1022100050,1611661324,2021,Regular Season,2021-06-06,MIN,9,200.0,0,0.6893333333333332,0.9050833333333332,26.72,26.72,0.6679999999999999,0.3320000000000001,33.18333333333333,0,2,12,3,0
1022100050,1611661330,2021,Regular Season,2021-06-06,ATL,10,199.99999999999997,0,0.6058333333333334,0.7965833333333334,21.083333333333332,21.083333333333336,0.5270833333333333,0.47291666666666665,33.150000000000006,0,1,11,1,0
1022100051,1611661321,2021,Regular Season,2021-06-06,DAL,11,200.0,0,0.70125,0.8438333333333334,20.66,20.66,0.5165,0.48350000000000004,32.93333333333333,0,2,12,1,1
1022100051,1611661328,2021,Regular Season,2021-06-06,SEA,11,200.01666666666668,0,0.7065244562953087,0.8318473460544954,28.263333333333332,28.260978251812347,0.7065244562953087,0.2934755437046913,33.49720856595283,0,2,12,1,1
1022100052,1611661322,2021,Regular Season,2021-06-08,WAS,9,199.99999999999997,0,0.7483333333333335,0.9155833333333335,29.753333333333337,29.753333333333345,0.7438333333333335,0.25616666666666654,35.73333333333334,1,3,10,1,1
1022100052,1611661324,2021,Regular Season,2021-06-08,MIN,9,199.99999999999997,0,0.7644166666666669,0.9110000000000003,28.310000000000002,28.31000000000001,0.7077500000000002,0.2922499999999998,38.150000000000006,2,3,10,1,1
1022100053,1611661328,2021,Regular Season,2021-06-09,SEA,12,200.0,0,0.6039166666666668,0.7886666666666667,23.720000000000002,23.720000000000002,0.5930000000000001,0.4069999999999999,32.36666666666667,0,1,12,0,0
1022100053,1611661330,2021,Regular Season,2021-06-09,ATL,10,200.01666666666665,0,0.6592783934672112,0.8337638530122491,25.903333333333336,25.901174902091498,0.6475293725522874,0.3524706274477126,30.680776601949837,0,2,10,0,0
1022100054,1611661325,2021,Regular Season,2021-06-09,IND,10,200.0,0,0.8031666666666666,0.9361666666666666,32.126666666666665,32.126666666666665,0.8031666666666666,0.19683333333333342,35.733333333333334,1,4,12,2,0
1022100054,1611661329,2021,Regular Season,2021-06-09,CHI,10,200.00000000000003,0,0.6802499999999999,0.8516666666666667,25.546666666666667,25.546666666666663,0.6386666666666666,0.3613333333333334,28.316666666666663,0,0,10,0,0
1022100055,1611661317,2021,Regular Season,2021-06-08,PHO,8,200.0,0,0.8002499999999999,0.9646666666666666,32.01,32.01,0.8002499999999999,0.1997500000000001,37.583333333333336,2,2,12,4,2
1022100055,1611661321,2021,Regular Season,2021-06-08,DAL,10,199.99999999999997,0,0.6470833333333336,0.8541666666666669,17.87333333333333,17.873333333333335,0.44683333333333336,0.5531666666666666,28.650000000000006,0,0,12,2,2
1022100056,1611661320,2021,Regular Season,2021-06-10,LAS,10,200.01666666666665,0,0.6014498791767353,0.787851012415632,21.46,21.458211815682027,0.5364552953920507,0.4635447046079493,27.64769602533122,0,0,10,0,0
1022100056,1611661322,2021,Regular Season,2021-06-10,WAS,10,200.0,0,0.6549166666666667,0.8280833333333334,26.19666666666667,26.19666666666667,0.6549166666666667,0.3450833333333333,31.166666666666668,0,1,10,0,0
1022100057,1611661328,2021,Regular Season,2021-06-11,SEA,12,200.01666666666665,0,0.6604449629197567,0.8234313807182736,26.419999999999998,26.417798516790267,0.6604449629197567,0.33955503708024326,32.16398633447213,0,1,12,0,0
1022100057,1611661330,2021,Regular Season,2021-06-11,ATL,10,200.01666666666665,0,0.6781101574868761,0.8545121239896676,26.623333333333335,26.62111490709108,0.665527872677277,0.334472127322723,35.44704607949338,1,2,10,0,0
1022100058,1611661317,2021,Regular Season,2021-06-11,PHO,10,200.00000000000003,0,0.6655833333333333,0.8468333333333332,26.27,26.269999999999996,0.6567499999999998,0.34325000000000017,32.883333333333326,0,2,12,2,0
1022100058,1611661321,2021,Regular Season,2021-06-11,DAL,11,199.99999999999997,0,0.6080000000000001,0.7906666666666667,21.93333333333333,21.933333333333334,0.5483333333333333,0.45166666666666666,29.63333333333334,0,0,12,1,1
1022100059,1611661325,2021,Regular Season,2021-06-12,IND,10,200.0,0,0.65875,0.8294166666666666,20.326666666666664,20.326666666666664,0.5081666666666667,0.49183333333333334,33.2,0,2,12,2,0
1022100059,1611661329,2021,Regular Season,2021-06-12,CHI,9,200.0,0,0.7275833333333334,0.90475,29.103333333333335,29.103333333333335,0.7275833333333334,0.27241666666666664,33.2,0,3,9,0,0
1022100060,1611661320,2021,Regular Season,2021-06-12,LAS,9,200.0,0,0.75575,0.9401666666666668,29.669999999999998,29.669999999999998,0.74175,0.25825,36.333333333333336,1,3,13,4,1
1022100060,1611661324,2021,Regular Season,2021-06-12,MIN,10,200.0,0,0.6877499999999999,0.8539999999999999,25.616666666666664,25.616666666666664,0.6404166666666665,0.3595833333333335,32.78333333333333,0,1,12,2,0
1022100061,1611661323,2021,Regular Season,2021-06-13,CON,10,200.0,0,0.6749166666666667,0.8304166666666667,24.673333333333332,24.673333333333332,0.6168333333333333,0.38316666666666666,30.25,0,1,11,1,0
1022100061,1611661328,2021,Regular Season,2021-06-13,SEA,12,199.99999999999997,0,0.6205,0.7873333333333333,24.82,24.820000000000007,0.6205,0.37949999999999995,28.166666666666675,0,0,12,0,0
1022100062,1611661322,2021,Regular Season,2021-06-13,WAS,10,200.00000000000003,0,0.6623333333333332,0.8484999999999999,25.736666666666668,25.736666666666665,0.6434166666666666,0.35658333333333336,30.516666666666662,0,1,10,0,0
