player_id,player_name,off_poss,def_poss,total_poss,minutes_2021_24,orapm_100,drapm_100,net_100,lambda_chosen,net_100_lam500,net_100_lam1000,net_100_lam2000,net_100_lam5000
1629480,Kalani Brown,2207,2195,4402,1088.0,-0.23,-0.601,-0.831,11000,-3.5,-3.041,-2.336,-1.413
1628890,Diamond DeShields,4518,4527,9045,2271.5,-0.62,-0.215,-0.835,11000,-3.367,-3.016,-2.385,-1.459
204323,Cheyenne Parker-Tyus,5694,5654,11348,2822.2,-0.771,-0.103,-0.874,11000,-4.87,-3.782,-2.692,-1.533
1630446,Michaela Onyenwere,5544,5583,11127,2807.5,-0.456,-0.437,-0.893,11000,-0.602,-1.274,-1.554,-1.325
1627669,Moriah Jefferson,4813,4798,9611,2491.0,-0.481,-0.478,-0.959,11000,-4.016,-3.547,-2.792,-1.697
1628899,Myisha Hines-Allen,5265,5273,10538,2691.4,-0.27,-0.722,-0.992,11000,-4.477,-3.822,-2.938,-1.752
1628915,Kia Nurse,5059,5042,10101,2565.9,-0.522,-0.518,-1.04,11000,-1.12,-1.618,-1.781,-1.496
204330,Isabelle Harrison,3873,3883,7756,1961.5,-0.68,-0.454,-1.134,11000,-4.672,-4.135,-3.245,-1.979
1631019,NaLyssa Smith,5733,5733,11466,2870.3,0.048,-1.197,-1.149,11000,-4.784,-4.047,-3.089,-1.897
1642288,Rickea Jackson,2303,2294,4597,1152.0,-0.748,-0.416,-1.164,11000,-1.643,-1.796,-1.823,-1.582
1629488,Brianna Turner,7473,7480,14953,3872.5,-0.739,-0.443,-1.182,11000,-5.368,-4.441,-3.387,-2.056
204324,Dearica Hamby,8206,8244,16450,4085.1,-0.617,-0.606,-1.223,11000,-0.802,-1.295,-1.588,-1.565
1642292,Jacy Sheldon,1874,1877,3751,931.0,-0.126,-1.253,-1.379,11000,-6.18,-5.221,-3.935,-2.353
1630389,Dana Evans,4514,4538,9052,2311.3,-1.093,-0.726,-1.819,11000,-9.243,-7.561,-5.63,-3.272
