OFFICIAL_ID,FIRST_NAME,LAST_NAME,JERSEY_NUM,GAME_ID,SOURCE
203054,Che,Flores,13,1022100159,v2
203438,Tiffany,Bird,2,1022100159,v2
203891,Fatou,Cissoko-Stephens,15,1022100159,v2
101044,Amy,Bonner,31,1022100160,v2
202299,Billy,Smith,7,1022100160,v2
1628479,Ashley,Gloss,10,1022100160,v2
1628702,Randy,Richardson,11,1022100161,v2
1627545,Karleena,Tobin,12,1022100161,v2
203440,Tiara,Cruse,5,1022100161,v2
203800,Isaac,Barnett,16,1022100162,v2
1628484,Dannica,Mosher,14,1022100162,v2
201538,Maj,Forsberg,34,1022100162,v2
202047,Kevin,Sparrock,50,1022100163,v2
200667,Angelica,Suffren,86,1022100163,v2
202297,Tim,Greene,9,1022100163,v2
202678,Janetta,Graham,44,1022100164,v2
101044,Amy,Bonner,31,1022100164,v2
100308,Michael,Price,39,1022100164,v2
1628168,Jenna,Reneau,77,1022100165,v2
201538,Maj,Forsberg,34,1022100165,v2
202299,Billy,Smith,7,1022100165,v2
1627526,Matt,Kallio,17,1022100166,v2
100274,Roy,Gulbeyan,42,1022100166,v2
1628480,Robert,Hussey,85,1022100166,v2
100308,Michael,Price,39,1022100167,v2
1628952,Kevin,Fahy,43,1022100167,v2
202299,Billy,Smith,7,1022100167,v2
100697,Eric,Brewton,55,1022100168,v2
1628480,Robert,Hussey,85,1022100168,v2
101044,Amy,Bonner,31,1022100168,v2
202297,Tim,Greene,9,1022100169,v2
100698,Jeffrey,Smith,53,1022100169,v2
100274,Roy,Gulbeyan,42,1022100169,v2
203054,Che,Flores,13,1022100170,v2
203800,Isaac,Barnett,16,1022100170,v2
1627526,Matt,Kallio,17,1022100170,v2
201538,Maj,Forsberg,34,1022100171,v2
1628702,Randy,Richardson,11,1022100171,v2
1628484,Dannica,Mosher,14,1022100171,v2
100274,Roy,Gulbeyan,42,1022100172,v2
1627545,Karleena,Tobin,12,1022100172,v2
203891,Fatou,Cissoko-Stephens,15,1022100172,v2
1628484,Dannica,Mosher,14,1022100173,v2
1627519,John,Conley,3,1022100173,v2
201538,Maj,Forsberg,34,1022100173,v2
202299,Billy,Smith,7,1022100174,v2
1629174,Blanca,Burns,8,1022100174,v2
100697,Eric,Brewton,55,1022100174,v2
1628487,Danielle,Scott,4,1022100175,v2
101286,Kurt,Walker,18,1022100175,v2
1627526,Matt,Kallio,17,1022100175,v2
1627545,Karleena,Tobin,12,1022100176,v2
100274,Roy,Gulbeyan,42,1022100176,v2
1628479,Ashley,Gloss,10,1022100176,v2
200667,Angelica,Suffren,86,1022100177,v2
203440,Tiara,Cruse,5,1022100177,v2
203054,Che,Flores,13,1022100177,v2
202297,Tim,Greene,9,1022100178,v2
1628167,Toni,Patillo,76,1022100178,v2
100308,Michael,Price,39,1022100178,v2
202299,Billy,Smith,7,1022100179,v2
202678,Janetta,Graham,44,1022100179,v2
101286,Kurt,Walker,18,1022100179,v2
100697,Eric,Brewton,55,1022100180,v2
1627519,John,Conley,3,1022100180,v2
101044,Amy,Bonner,31,1022100180,v2
201538,Maj,Forsberg,34,1022100181,v2
1628952,Kevin,Fahy,43,1022100181,v2
203438,Tiffany,Bird,2,1022100181,v2
100697,Eric,Brewton,55,1022100182,v2
1628479,Ashley,Gloss,10,1022100182,v2
200667,Angelica,Suffren,86,1022100182,v2
1628702,Randy,Richardson,11,1022100183,v2
100274,Roy,Gulbeyan,42,1022100183,v2
202047,Kevin,Sparrock,50,1022100183,v2
203054,Che,Flores,13  ,1022100184,v2
203440,Tiara,Cruse,5   ,1022100184,v2
203800,Isaac,Barnett,16  ,1022100184,v2
201538,Maj,Forsberg,34  ,1022100185,v2
202299,Billy,Smith,7   ,1022100185,v2
1628484,Dannica,Mosher,14  ,1022100185,v2
100697,Eric,Brewton,55  ,1022100186,v2
100698,Jeffrey,Smith,53  ,1022100186,v2
1628479,Ashley,Gloss,10  ,1022100186,v2
101044,Amy,Bonner,31  ,1022100187,v2
203438,Tiffany,Bird,2   ,1022100187,v2
1627526,Matt,Kallio,17  ,1022100187,v2
101286,Kurt,Walker,18  ,1022100188,v2
203440,Tiara,Cruse,5   ,1022100188,v2
1628167,Toni,Patillo,76  ,1022100188,v2
101044,Amy,Bonner,31  ,1022100189,v2
202297,Tim,Greene,9   ,1022100189,v2
203054,Che,Flores,13  ,1022100189,v2
202299,Billy,Smith,7   ,1022100190,v2
1628702,Randy,Richardson,11  ,1022100190,v2
1629174,Blanca,Burns,8   ,1022100190,v2
100697,Eric,Brewton,55  ,1022100191,v2
203891,Fatou,Cissoko-Stephens,15  ,1022100191,v2
1628952,Kevin,Fahy,43  ,1022100191,v2
201538,Maj,Forsberg,34  ,1022100192,v2
203438,Tiffany,Bird,2   ,1022100192,v2
1627526,Matt,Kallio,17  ,1022100192,v2
202297,Tim,Greene,9   ,1022200001,v2
203054,Che,Flores,13  ,1022200001,v2
1628480,Robert,Hussey,85  ,1022200001,v2
100697,Eric,Brewton,55  ,1022200002,v2
202679,Jeff,Wooten,23  ,1022200002,v2
1628484,Dannica,Mosher,14  ,1022200002,v2
100698,Jeffrey,Smith,53  ,1022200003,v2
200667,Angelica,Suffren,86  ,1022200003,v2
202299,Billy,Smith,7   ,1022200003,v2
100274,Roy,Gulbeyan,42  ,1022200004,v2
202025,Byron,Jarrett,21  ,1022200004,v2
1629174,Blanca,Burns,8   ,1022200004,v2
202297,Tim,Greene,9   ,1022200005,v2
203054,Che,Flores,13  ,1022200005,v2
203800,Isaac,Barnett,16  ,1022200005,v2
101286,Kurt,Walker,18  ,1022200006,v2
201538,Maj,Forsberg,34  ,1022200006,v2
203891,Fatou,Cissoko-Stephens,15  ,1022200006,v2
101044,Amy,Bonner,31  ,1022200007,v2
