era,timing,bet_type,threshold,execution,cond_dim,cond_level,n_bets,wins,losses,pushes,hit_rate,roi,n_cons,roi_cons,n_best,roi_best,roi_ci90_low,roi_ci90_high,n_dates,mean_clv_pts,pct_clv_positive,clv_measurable,n_perm_ge,n_perm_nonempty,perm_roi_mean,perm_roi_q95,p_perm,p_perm_phipson_smyth,eligible,small_n_flag,q_bh,starred
extension,near-tip,total,0.5,consensus,phase,mid,196,89,107,0,0.45408163265306123,-0.1331168831168831,196,-0.1331168831168831,196,-0.11350807521620371,-0.2515577629884962,-0.023047375160051217,75,,,False,39,200,-0.17434011,-0.09134615,0.195,0.19900497512437812,True,False,0.4966,False
extension,near-tip,total,0.5,consensus,phase,late,110,52,58,0,0.4727272727272727,-0.09752066115702482,110,-0.09752066115702482,110,-0.06344324125434074,-0.23990757085417277,0.04293840466520878,48,,,False,148,200,-0.05611713,0.051172853,0.74,0.7412935323383084,True,False,0.8824557752341311,False
extension,near-tip,total,0.5,consensus,weekend,weekend,103,48,55,0,0.46601941747572817,-0.11032656663724628,103,-0.11032656663724628,103,-0.07561487995044397,-0.30207252424994363,0.06519061583577701,40,,,False,140,200,-0.07512719,0.034834325,0.7,0.7014925373134329,True,False,0.8607296137339056,False
extension,near-tip,total,0.5,consensus,weekend,weekday,235,110,125,0,0.46808510638297873,-0.10638297872340426,235,-0.10638297872340426,235,-0.08857522269803804,-0.19993551542187826,-0.01335929628768503,93,,,False,54,200,-0.13661131,-0.068913884,0.27,0.2736318407960199,True,False,0.5751301115241636,False
extension,near-tip,total,0.5,best_book,none,all,338,161,175,2,0.4791666666666667,-0.08462576913885995,338,-0.10758472296933834,338,-0.08462576913885995,-0.16494656937980032,-0.0022393515564840915,133,,,False,71,200,-0.095999025,-0.04022053,0.355,0.3582089552238806,True,False,0.6527848101265823,False
extension,near-tip,total,0.5,best_book,line_terc,small,115,60,55,0,0.5217391304347826,-0.003723695925695725,115,-0.02055335968379444,115,-0.003723695925695725,-0.14436102122364433,0.14570475179317324,84,,,False,115,200,0.005283501,0.1085878,0.575,0.5771144278606966,True,False,0.8006682867557715,False
extension,near-tip,total,0.5,best_book,line_terc,mid,116,55,61,0,0.47413793103448276,-0.09431876002743839,116,-0.11128526645768028,116,-0.09431876002743839,-0.2410408021347557,0.0606438802759561,81,,,False,48,200,-0.13348228,-0.05165757,0.24,0.24378109452736318,True,False,0.5371874999999999,False
extension,near-tip,total,0.5,best_book,line_terc,large,107,46,59,2,0.4380952380952381,-0.16106830630183935,107,-0.19711129991503826,107,-0.16106830630183935,-0.31265592436671097,0.004192041961507105,77,,,False,100,200,-0.15933666,-0.061624404,0.5,0.5024875621890548,True,False,0.7477131782945736,False
extension,near-tip,total,0.5,best_book,total_terc,low,114,47,66,1,0.415929203539823,-0.20547084221343867,114,-0.21291866028708134,114,-0.20547084221343867,-0.3669081443067155,-0.04729145544424839,75,,,False,195,200,-0.11396248,-0.029883465,0.975,0.9751243781094527,True,False,1.0,False
extension,near-tip,total,0.5,best_book,total_terc,mid,109,61,47,1,0.5648148148148148,0.07665260629104707,109,0.015846538782318596,109,0.07665260629104707,-0.06280991627480552,0.21642737637895285,78,,,False,50,200,0.017279264,0.14818035,0.25,0.2537313432835821,True,False,0.5467557251908397,False
extension,near-tip,total,0.5,best_book,total_terc,high,115,53,62,0,0.4608695652173913,-0.1176953742811025,115,-0.12015810276679842,115,-0.1176953742811025,-0.2658839106110626,0.043162221413593826,75,,,False,16,200,-0.18436445,-0.107716694,0.08,0.0845771144278607,True,False,0.3005901639344262,False
extension,near-tip,total,0.5,best_book,side,over,146,72,73,1,0.496551724137931,-0.052667659840977606,146,-0.0846824408468244,146,-0.052667659840977606,-0.17368279174023088,0.07361396778633791,92,,,False,77,200,-0.065205075,-0.006871212,0.385,0.3880597014925373,True,False,0.6736030534351145,False
