arm,target,scheme,model,decile,n,mean_predicted,mean_realised,median_realised
A4_CLEAN_DEC,minutes,WF,V0,6,295,4.283315688889417,4.534236366943926,3.64809628067977
A4_CLEAN_DEC,minutes,WF,V0,7,294,4.3032072848974785,4.205238234826169,3.1383705992576
A4_CLEAN_DEC,minutes,WF,V0,8,295,4.32375298886092,4.336924928166145,3.5688757309041677
A4_CLEAN_DEC,minutes,WF,V0,9,294,4.357395544588356,3.773277899630567,3.0164916799565056
A4_CLEAN_DEC,minutes,WF,V0,10,295,4.509785262989664,4.076583630497339,3.178529996291072
A4_CLEAN_DEC,minutes,WF,VSD,1,294,3.874786935681114,4.264716910887719,3.3337331908982133
A4_CLEAN_DEC,minutes,WF,VSD,2,295,4.0592785422507305,4.524756795906673,3.5647235716465993
A4_CLEAN_DEC,minutes,WF,VSD,3,294,4.156621038067092,4.198218988298325,3.3122737292017597
A4_CLEAN_DEC,minutes,WF,VSD,4,295,4.1973467645862765,4.179422247552053,3.179116010562783
A4_CLEAN_DEC,minutes,WF,VSD,5,294,4.237456308626404,4.547388841529273,3.9729314185182094
A4_CLEAN_DEC,minutes,WF,VSD,6,295,4.275898090529325,4.669604074840237,3.5756964756019443
A4_CLEAN_DEC,minutes,WF,VSD,7,294,4.306177434846957,4.137362509254444,2.7918815103723063
A4_CLEAN_DEC,minutes,WF,VSD,8,295,4.336262233393322,4.3627903764296185,3.66728626738956
A4_CLEAN_DEC,minutes,WF,VSD,9,294,4.3823726843023465,3.8454378592226988,3.1748870802486433
A4_CLEAN_DEC,minutes,WF,VSD,10,295,4.523566919646981,4.046448471040646,3.1095678783812595
A4_CLEAN_DEC,minutes,WF,VSIG,1,294,3.2993459280589104,3.00411298132837,2.271705703217725
A4_CLEAN_DEC,minutes,WF,VSIG,2,295,3.611415240381658,3.7248589710606574,2.6770952580075686
A4_CLEAN_DEC,minutes,WF,VSIG,3,294,3.8224667297056696,3.5207539563979293,2.72021626978602
A4_CLEAN_DEC,minutes,WF,VSIG,4,295,3.9970873280306,4.022751783388308,3.2723098614295374
A4_CLEAN_DEC,minutes,WF,VSIG,5,294,4.1572734953104185,4.262488652147328,3.127050095647549
A4_CLEAN_DEC,minutes,WF,VSIG,6,295,4.320803216666959,4.454478322577342,3.808445774530753
A4_CLEAN_DEC,minutes,WF,VSIG,7,294,4.507680173285579,4.468716512539916,3.7704352214151022
A4_CLEAN_DEC,minutes,WF,VSIG,8,295,4.738801219962993,4.45608582829183,4.027034085174034
A4_CLEAN_DEC,minutes,WF,VSIG,9,294,5.081090027820652,5.12514264850349,4.340021440236155
A4_CLEAN_DEC,minutes,WF,VSIG,10,295,5.953713133987559,5.734683146325582,4.88727187357896
A4_CLEAN_DEC,minutes,WF,VALL,1,294,2.447086780454829,3.0341001287445737,2.1471027541924315
A4_CLEAN_DEC,minutes,WF,VALL,2,295,3.1509131705163935,3.651601438360248,2.5049246356632224
A4_CLEAN_DEC,minutes,WF,VALL,3,294,3.461495603888716,3.5417742388768234,2.9781658671161964
A4_CLEAN_DEC,minutes,WF,VALL,4,295,3.6903336116653858,3.983640330678901,3.1802675940645813
A4_CLEAN_DEC,minutes,WF,VALL,5,294,3.890711664307401,3.9970542545788277,3.090389625707191
A4_CLEAN_DEC,minutes,WF,VALL,6,295,4.08825312328139,4.153721135872624,3.5726588997241358
A4_CLEAN_DEC,minutes,WF,VALL,7,294,4.341894754003669,4.845557266366546,3.8781757691867167
A4_CLEAN_DEC,minutes,WF,VALL,8,295,4.672389382771174,4.594042096139268,3.943120557485617
A4_CLEAN_DEC,minutes,WF,VALL,9,294,5.102289905432638,5.22530804052384,4.4296247720895074
