stratum,target,base,candidate,level,n,dr2,beta,sd_candidate,sd_candidate_resid,sd_y,r2_base,p_row_level_NAIVE,p_entity_swap,p_cyclic_shift,p_correct_level,null_sd_row,null_sd_swap,null_sd_cyclic,inflation_swap_over_row,inflation_cyclic_over_row,CEILING_dr2_D089form,CEILING_dr2_residualised,d_target_per_sd_signal,family,fw_p,fw_t
DECISION,y_dreb,B_COMPLETE,R02_opp_allowed_ra_share,opp_team_season,5111,0.000730217426592891,-1.8565286801295493,0.04063286629971969,0.040568818097067076,2.787198641156965,0.359843192646234,0.009983361064891847,0.033277870216306155,0.7853577371048253,0.7853577371048253,0.00016548597654173795,0.00022558199133066435,0.00017033486843683854,1.363148685132056,1.029300923234892,0.0007325249146779727,0.0007302174265928908,0.07543608164129904,R,1.0,-0.8372853093943394
DECISION,y_dreb,B_COMPLETE,R03_opp_allowed_atb3_share,opp_team_season,5111,0.00010693231830316727,1.1789946771237343,0.024496688651666914,0.02444615541679658,2.787198641156965,0.359843192646234,0.33277870216306155,0.4459234608985025,0.7038269550748752,0.7038269550748752,0.000173010950124262,0.00021843208884301672,0.00010296494631417983,1.2625333176086935,0.5951354306778104,0.00010737485995085276,0.00010693231830316726,0.02888146552747268,R,1.0,-0.6601751473196342
DECISION,y_dreb,B_COMPLETE,R04_opp_allowed_mid_share,opp_team_season,5111,4.1358250810830774e-07,0.08513149793787017,0.021165492307823896,0.021055168812110153,2.787198641156965,0.359843192646234,0.9650582362728786,0.9550748752079867,0.9151414309484193,0.9550748752079867,0.00018194190037249477,0.00023923865843594023,3.126709165452335e-05,1.3149178828303991,0.17185206700880531,4.1792798806407676e-07,4.135825081083079e-07,0.0018018500647575169,R,1.0,-0.6797716418372826
DECISION,y_dreb,B_COMPLETE,R05_opp_allowed_long_miss_pg,opp_team_season,5111,0.00016695898637107822,0.030221745003226903,1.1974940290698133,1.1916625315888631,2.787198641156965,0.359843192646234,0.23128119800332778,0.36938435940099834,0.7870216306156406,0.7870216306156406,0.00020355969312318276,0.00024077241054254743,0.00014440751285897189,1.1828098522276984,0.7094111346079927,0.00016859703930822848,0.00016695898637107817,0.03619035918943468,R,1.0,-0.8608236365054793
DECISION,y_dreb,B_COMPLETE,R06_own_atb3_share,team_season,5111,2.726360521702873e-05,-0.31522941743597993,0.04742396294596651,0.046167124382708064,2.7871986411569645,0.35984319264623366,0.6256239600665557,0.6921797004991681,0.15806988352745424,0.6921797004991681,0.0001718226993203263,0.0002270039655636463,1.2129277541788128e-05,1.3211523649762156,0.07059182279039691,2.8768241831904887e-05,2.7263605217028735e-05,0.014949428211962521,R,1.0,-0.6223725688674797
DECISION,y_dreb,B_COMPLETE,R07_own_miss_pg,team_season,5111,0.00017672386272295974,-0.020969143140367456,1.8569963058276184,1.7669930244532739,2.7871986411569645,0.35984319264623366,0.24958402662229617,0.22129783693843594,0.08319467554076539,0.22129783693843594,0.0001799754293649039,0.00016436980653182872,6.317566658738219e-05,0.9132902591862445,0.3510238414783399,0.00019518552402708806,0.0001767238627229597,0.03893962134803291,R,1.0,0.3579809532015928
DECISION,y_dreb,B_COMPLETE,R08_player_ra_share,player_season,5111,0.0007590476436311021,0.5665174302246968,0.1607438643675129,0.13554676695734252,2.7871986411569645,0.35984319264623366,0.014975041597337771,0.014975041597337771,0.8452579034941764,0.8452579034941764,0.00017903475236997443,0.0001840366047912581,0.00010324438245458394,1.0279378855505514,0.5766723001422089,0.001067479440547304,0.0007590476436311024,0.09106420096587062,R,1.0,-1.021274258501132
DECISION,y_dreb,B_COMPLETE,R09_opp_allowed_paint_share,opp_team_season,5111,0.00011611803353475183,-0.8840151880389121,0.03404277277032171,0.033974887804002214,2.787198641156965,0.359843192646234,0.3261231281198003,0.45923460898502494,0.8735440931780366,0.8735440931780366,0.00016282621794218703,0.0002633601420420213,8.770159776410806e-05,1.6174308128653443,0.5386208613851569,0.00011658252625016904,0.00011611803353475179,0.0300943281719219,R,1.0,-1.1131150567782653
DECISION,y_dreb,B_COMPLETE,R10_opp_allowed_oreb_pg,opp_team_season,5111,0.0003377447120259817,-0.05915464940953935,0.8694231467953196,0.8659111180105941,2.787198641156965,0.359843192646234,0.09484193011647254,0.15141430948419302,0.2079866888519135,0.2079866888519135,0.0001618173152560663,0.00023975861842449512,0.00016475838551643058,1.481662318059667,1.0181752506257455,0.00034048996983305027,0.00033774471202598153,0.0514304214372156,R,1.0,0.7145301502893178
DECISION,y_dreb,B_COMPLETE_PLUS_R10,R01_opp_allowed_miss_pg,opp_team_season,5111,0.0003753749610979643,0.03271502237473807,1.8728486110166511,1.6506437432183219,2.787198641156965,0.36018093735825973,0.07820299500831947,0.15141430948419302,0.7038269550748752,0.7038269550748752,0.0001500713101205017,0.00023480951250916843,0.00019089494903170838,1.5646529128094178,1.272028270283153,0.00048324119163975927,0.00037537496109796433,0.06127028421390686,R,1.0,-0.5821281896224968
