catalog_number,channel,alpha,inner_mae
66,paint,0.1,3.5860863660563473
66,paint,0.15,3.5859474573448478
66,paint,0.2,3.5858415972441926
66,paint,0.25,3.5857812668359252
66,paint,0.3,3.5857675712329797
66,paint,0.35,3.5857802183006418
66,paint,0.4,3.585805847574355
66,paint,0.45,3.585834894390833
66,paint,0.5,3.5858590527458785
66,ft,0.05,2.079503192426134
66,ft,0.1,2.079599922096615
66,ft,0.15,2.07966267434927
66,ft,0.2,2.079699731284395
66,ft,0.25,2.079701937136532
66,ft,0.3,2.0797029158284386
66,ft,0.35,2.079697385033381
66,ft,0.4,2.079683199199374
66,ft,0.45,2.0796651826452712
66,ft,0.5,2.079637430482465
66,np2,0.05,1.7670347250846243
66,np2,0.1,1.7669062558854243
66,np2,0.15,1.7667826680127428
66,np2,0.2,1.7666777609602498
66,np2,0.25,1.7665931075387276
66,np2,0.3,1.7665254717145782
66,np2,0.35,1.7664725988626435
66,np2,0.4,1.7664337238507468
66,np2,0.45,1.766406968384758
66,np2,0.5,1.7663896515402862
69,np2,0.05,1.7511647699510398
69,np2,0.1,1.7503174039738758
69,np2,0.15,1.7500357308449812
69,np2,0.2,1.750189176384722
69,np2,0.25,1.750578435022601
69,np2,0.3,1.7510560214650663
69,np2,0.35,1.7516165134710298
69,np2,0.4,1.7522135605266913
69,np2,0.45,1.752820662012291
69,np2,0.5,1.7534280037433312
73,ft,0.05,2.078156631931653
73,ft,0.1,2.0782075402361655
73,ft,0.15,2.0782711285505178
73,ft,0.2,2.0783394130094095
73,ft,0.25,2.0784034941393994
73,ft,0.3,2.0784560161969323
73,ft,0.35,2.078494789107294
73,ft,0.4,2.0785208642580835
73,ft,0.45,2.0785380628469454
73,ft,0.5,2.078548810590941
74,ft,0.05,2.076738858066996
74,ft,0.1,2.07691368989244
74,ft,0.15,2.0770910703046757
74,ft,0.2,2.0772513806848405
74,ft,0.25,2.0773882600335725
74,ft,0.3,2.0775039299631826
74,ft,0.35,2.0776023688128142
74,ft,0.4,2.0776826168714444
74,ft,0.45,2.0777460913709955
74,ft,0.5,2.077792611889221
75,fg3,0.05,3.2685690039726
75,fg3,0.1,3.2683685935723603
75,fg3,0.15,3.2681628445748494
75,fg3,0.2,3.2679595670196
75,fg3,0.25,3.267771574255805
75,fg3,0.3,3.2676084148385645
75,fg3,0.35,3.267486817052094
75,fg3,0.4,3.267420608962677
75,fg3,0.45,3.267384659190979
75,fg3,0.5,3.2673852053889214
75,paint,0.05,3.5850642624486997
75,paint,0.1,3.5849316244028455
75,paint,0.15,3.5847828179669285
75,paint,0.2,3.58465322836386
75,paint,0.25,3.584595321139735
75,paint,0.3,3.5845898898942052
75,paint,0.35,3.584612784149486
75,paint,0.4,3.5846479299563487
75,paint,0.45,3.58469305437673
75,paint,0.5,3.584748299832499
75,ft,0.05,2.0800364175265984
75,ft,0.1,2.0800228703946555
75,ft,0.15,2.0800061177644813
75,ft,0.2,2.079984784944433
75,ft,0.25,2.0799558389606525
75,ft,0.3,2.0799169321540445
75,ft,0.35,2.0798655175927987
75,ft,0.4,2.0798032212798265
75,ft,0.45,2.079734079367267
75,ft,0.5,2.0796612771880905
75,np2,0.05,1.7669844004474584
75,np2,0.1,1.7669642767027955
75,np2,0.15,1.7669472060550209
75,np2,0.2,1.766933531381819
75,np2,0.25,1.766928937977454
75,np2,0.3,1.7669267549174439
75,np2,0.35,1.7669176367801278
75,np2,0.4,1.7669016690973358
75,np2,0.45,1.7668801055228582
75,np2,0.5,1.7668548617160271
76,fg3,0.05,3.2659431680954056
76,fg3,0.1,3.265946235266983
76,fg3,0.15,3.2659460593377787
76,fg3,0.2,3.2659521026193317
76,fg3,0.25,3.2659678518456055
76,fg3,0.3,3.2659876632517384
76,fg3,0.35,3.266005360282272
76,fg3,0.4,3.266015643133946
