game_id,era,season,game_date,status,n_events,n_dup_rows_dropped,n_conflicting_dup_keys,n_unattributed_pts,ot_periods,rec_home,rec_away,posted_home,posted_away,master_home,master_away,n_checkpoints,n_checkpoint_mismatch,first_mismatch_event,exact_vs_master,posted_matches_master
1022100183,v2,2021,2021-09-16,ok,382,0,0,0,0,68,74,68,74,68,74,82,0,,True,True
1022100184,v2,2021,2021-09-17,ok,397,0,0,0,0,73,92,73,92,73,92,95,0,,True,True
1022100185,v2,2021,2021-09-17,ok,366,0,0,0,0,91,80,91,80,91,80,89,0,,True,True
1022100186,v2,2021,2021-09-17,ok,337,0,0,0,0,70,103,70,103,70,103,87,0,,True,True
1022100187,v2,2021,2021-09-17,ok,342,0,0,0,0,94,85,94,85,94,85,96,0,,True,True
1022100188,v2,2021,2021-09-19,ok,382,0,0,0,0,84,64,84,64,84,64,81,0,,True,True
1022100189,v2,2021,2021-09-19,ok,342,0,0,0,0,83,84,83,84,83,84,84,0,,True,True
1022100190,v2,2021,2021-09-19,ok,373,0,0,0,0,77,83,77,83,77,83,90,0,,True,True
1022100191,v2,2021,2021-09-19,ok,340,0,0,0,0,87,84,87,84,87,84,87,0,,True,True
1022100192,v2,2021,2021-09-19,ok,380,0,0,0,0,98,87,98,87,98,87,102,0,,True,True
1022200001,v2,2022,2022-05-06,ok,364,0,0,0,0,84,70,84,70,84,70,84,0,,True,True
1022200002,v2,2022,2022-05-06,ok,438,0,0,0,1,91,98,91,98,91,98,107,0,,True,True
1022200003,v2,2022,2022-05-06,ok,372,0,0,0,0,88,106,88,106,88,106,105,0,,True,True
1022200004,v2,2022,2022-05-06,ok,373,0,0,0,0,97,74,97,74,97,74,89,0,,True,True
1022200005,v2,2022,2022-05-07,ok,388,0,0,0,0,81,79,81,79,81,79,91,0,,True,True
1022200006,v2,2022,2022-05-07,ok,447,0,0,0,0,59,66,59,66,59,66,77,0,,True,True
1022200007,v2,2022,2022-05-08,ok,433,0,0,0,0,77,87,77,87,77,87,90,0,,True,True
1022200008,v2,2022,2022-05-08,ok,396,0,0,0,0,85,74,85,74,85,74,84,0,,True,True
1022200009,v2,2022,2022-05-08,ok,385,0,0,0,0,66,78,66,78,66,78,80,0,,True,True
1022200010,v2,2022,2022-05-10,ok,376,0,0,0,0,89,76,89,76,89,76,90,0,,True,True
1022200011,v2,2022,2022-05-10,ok,390,0,0,0,0,82,76,82,76,82,76,82,0,,True,True
1022200012,v2,2022,2022-05-11,ok,407,0,0,0,0,77,75,77,75,77,75,84,0,,True,True
1022200013,v2,2022,2022-05-11,ok,350,0,0,0,0,83,50,83,50,83,50,70,0,,True,True
1022200014,v2,2022,2022-05-11,ok,390,0,0,0,0,97,77,97,77,97,77,88,0,,True,True
1022200015,v2,2022,2022-05-13,ok,381,0,0,0,0,86,94,86,94,86,94,92,0,,True,True
