arm,target,season,partition,cell,n_rows,n_scoreable,n_distinct_pred,sd_pred,sd_truth,sd_ratio,top1_share,top1_value,D1_flag,D2_flag,D3_flag,D4_flag,D5_flag,D6_flag,any_flag,top2_share,share_at_cell_min,share_at_cell_max,share_at_zero,share_at_one,dup_cluster_size,n_distinct_pred_vectors,dup_cluster_players,dup_cluster_games,dup_cluster_seasons,n_distinct_pred_sd,sd_null_share,sd_zero_share,corr_sd_absresid,modal_value,modal_share,modal_n_seasons,q_cross_rows,point_outside_interval_rows,cov90,cov50,quantiles_present
cbs_v15_player_oof_v5,player_scoring_distribution,ALL,P10_team_prior_games_bin,null,21617,14262,12553,5.201091972579243,7.5675550316544475,0.6872882920340204,0.10191053337650922,8.722116603,False,False,True,True,True,False,True,0.18582597030115186,0.006245084886894574,9.251977610214184e-05,0.006245084886894574,0.0,2203,12555,275,171,1,3,0.0,0.0,-0.008851350621705705,8.722116603,0.10191053337650922,1,0,0,0.8766652643388024,0.4727247230402468,True
cbs_v15_player_oof_v5,player_scoring_distribution,ALL,P11_candidate_at_cutoff,nan,21617,14262,12553,5.201091972579243,7.5675550316544475,0.6872882920340204,0.10191053337650922,8.722116603,False,False,True,True,True,False,True,0.18582597030115186,0.006245084886894574,9.251977610214184e-05,0.006245084886894574,0.0,2203,12555,275,171,1,3,0.0,0.0,-0.008851350621705705,8.722116603,0.10191053337650922,1,0,0,0.8766652643388024,0.4727247230402468,True
cbs_v15_player_oof_v5,player_scoring_distribution,ALL,P12_exact_cutoff_ok,False,21617,14262,12553,5.201091972579243,7.5675550316544475,0.6872882920340204,0.10191053337650922,8.722116603,False,False,True,True,True,False,True,0.18582597030115186,0.006245084886894574,9.251977610214184e-05,0.006245084886894574,0.0,2203,12555,275,171,1,3,0.0,0.0,-0.008851350621705705,8.722116603,0.10191053337650922,1,0,0,0.8766652643388024,0.4727247230402468,True
cbs_v15_player_oof_v5,player_scoring_distribution,ALL,P13_tip_time_quality,nan,1071,329,3,0.013983732479439194,7.143608085664945,0.0019575167494841022,0.43137254901960786,8.722116603,True,True,True,True,True,True,True,0.7675070028011205,0.33613445378151263,0.43137254901960786,0.0,0.0,462,3,269,6,1,3,0.0,0.0,-0.009522427261335622,8.722116603,0.43137254901960786,1,0,0,0.7112462006079028,0.24924012158054712,True
cbs_v15_player_oof_v5,player_scoring_distribution,ALL,P13_tip_time_quality,none,20546,13933,12553,5.333488938863708,7.5774136916779495,0.7038666695367737,0.08473668840650249,8.722116603,False,False,True,True,True,False,True,0.15550472111359875,0.006570622018884455,9.734254842791784e-05,0.006570622018884455,0.0,1741,12555,275,165,1,3,0.0,0.0,-0.008776311809496945,8.722116603,0.08473668840650249,1,0,0,0.8805713055336252,0.47800186607335104,True
cbs_v15_player_oof_v5,player_scoring_distribution,ALL,P14_player_season_game_index_bin,0,734,273,3,0.013495566594250505,7.3270587346148375,0.001841880498445319,0.3746594005449591,8.722116603,True,True,True,True,True,True,True,0.7084468664850136,0.3337874659400545,0.3746594005449591,0.0,0.0,275,3,275,12,1,3,0.0,0.0,-0.018351491125197596,8.722116603,0.3746594005449591,1,0,0,0.6959706959706959,0.25274725274725274,True
cbs_v15_player_oof_v5,player_scoring_distribution,ALL,P14_player_season_game_index_bin,1,734,283,3,0.013495566594250505,7.176705362990591,0.001880468252722973,0.3746594005449591,8.722116603,True,True,True,True,True,True,True,0.7084468664850136,0.3337874659400545,0.3746594005449591,0.0,0.0,275,3,275,18,1,3,0.0,0.0,-0.04957112489300081,8.722116603,0.3746594005449591,1,0,0,0.6855123674911661,0.26855123674911663,True
cbs_v15_player_oof_v5,player_scoring_distribution,ALL,P14_player_season_game_index_bin,10-19,4751,3362,3263,5.522394560020678,7.498513318192996,0.7364652599365488,0.06482845716691223,8.722116603,False,True,True,True,True,False,True,0.10671437592085876,0.01010313618185645,0.0004209640075773521,0.01010313618185645,0.0,308,3265,54,101,1,3,0.0,0.0,0.008922860150120638,8.722116603,0.06482845716691223,1,0,0,0.8881618084473528,0.49702558001189767,True
cbs_v15_player_oof_v5,player_scoring_distribution,ALL,P14_player_season_game_index_bin,2,733,282,3,0.013494159871066757,8.041957312025787,0.001677969597138728,0.37517053206002726,8.722116603,True,True,True,False,True,True,True,0.7080491132332879,0.3328785811732606,0.37517053206002726,0.0,0.0,275,3,275,25,1,3,0.0,0.0,-0.07695370162959568,8.722116603,0.37517053206002726,1,0,0,0.7163120567375887,0.2127659574468085,True
cbs_v15_player_oof_v5,player_scoring_distribution,ALL,P14_player_season_game_index_bin,20+,10371,8086,7957,5.860879636043086,7.623666910224734,0.7687743582005889,0.008774467264487513,8.690909091,False,False,True,True,False,False,True,0.014752675730402082,0.0026998360813807734,9.642271719217047e-05,0.0026998360813807734,0.0,91,7958,6,70,1,3,0.0,0.0,-0.013628751545911451,8.690909091,0.008774467264487513,1,0,0,0.8971061093247589,0.4949295077912441,True
