n_rows,n_scoreable,n_distinct_pred,sd_pred,sd_truth,sd_ratio,top1_share,top1_value,top2_share,D1_flag,share_at_cell_min,share_at_cell_max,share_at_zero,share_at_one,D2_flag,dup_cluster_size,n_distinct_pred_vectors,dup_cluster_players,dup_cluster_games,dup_cluster_seasons,D3_flag,n_distinct_pred_sd,sd_null_share,sd_zero_share,corr_sd_absresid,D4_flag,modal_value,modal_share,modal_n_seasons,D5_flag,q_cross_rows,point_outside_interval_rows,cov90,cov50,quantiles_present,D6_flag,any_flag,arm,target,partition,cell
16239,12832,12613,9.824956015135566,10.71341448904961,0.9170704657397364,0.002647946302112199,19.590393463,0.005049572017981402,False,6.158014656074881e-05,6.158014656074881e-05,0.0,0.0,False,43,12613,1,43,1,False,3,0.0,0.0,0.0004472137502055909,True,19.590393463,0.002647946302112199,1,False,0,0,0.9022755610972568,0.5280548628428927,True,False,True,cbs_v15_player_oof_v5,e_minutes_given_active,P03_fallback_level,0
16239,12832,12613,9.824956015135566,10.71341448904961,0.9170704657397364,0.002647946302112199,19.590393463,0.005049572017981402,False,6.158014656074881e-05,6.158014656074881e-05,0.0,0.0,False,43,12613,1,43,1,False,3,0.0,0.0,0.0004472137502055909,True,19.590393463,0.002647946302112199,1,False,0,0,0.9022755610972568,0.5280548628428927,True,False,True,cbs_v15_player_oof_v5,e_minutes_given_active,P04_component_id,e_minutes_given_active/walk_forward_active_ewma
16239,12832,12613,9.824956015135566,10.71341448904961,0.9170704657397364,0.002647946302112199,19.590393463,0.005049572017981402,False,6.158014656074881e-05,6.158014656074881e-05,0.0,0.0,False,43,12613,1,43,1,False,3,0.0,0.0,0.0004472137502055909,True,19.590393463,0.002647946302112199,1,False,0,0,0.9022755610972568,0.5280548628428927,True,False,True,cbs_v15_player_oof_v5,e_minutes_given_active,P05_is_cold_start,False
5030,3860,3772,9.751337605845563,10.653020709339506,0.9153589270033582,0.006759443339960238,32.870581361,0.011928429423459244,False,0.00019880715705765408,0.00019880715705765408,0.0,0.0,False,34,3772,1,34,1,False,3,0.0,0.0,-0.004397475418998035,True,32.870581361,0.006759443339960238,1,False,0,0,0.8994818652849741,0.5235751295336788,True,False,True,cbs_v15_player_oof_v5,e_minutes_given_active,P06_n_prior_games_bin,10-19
6651,5912,5829,9.225969879952885,10.440119092643345,0.8837035093262477,0.003458126597504135,16.664049251,0.005863779882724403,False,0.0004510599909788002,0.00015035333032626674,0.0,0.0,False,23,5829,1,23,1,False,3,0.0,0.0,-0.0007871624994168284,True,16.664049251,0.003458126597504135,1,False,0,0,0.905446549391069,0.5241880920162382,True,False,True,cbs_v15_player_oof_v5,e_minutes_given_active,P06_n_prior_games_bin,20+
1512,887,866,10.147382361157923,11.129760743706894,0.9117340969701943,0.025793650793650792,20.183561644,0.046957671957671955,False,0.0006613756613756613,0.0013227513227513227,0.0,0.0,False,39,866,1,39,1,False,3,0.0,0.0,0.001114621592551701,True,20.183561644,0.025793650793650792,1,True,0,0,0.8895152198421646,0.5580608793686584,True,False,True,cbs_v15_player_oof_v5,e_minutes_given_active,P06_n_prior_games_bin,3-4
3046,2173,2146,10.182750169717426,10.851082457720095,0.9384086987997057,0.014116874589625739,19.590393463,0.024294156270518712,False,0.002954694681549573,0.00032829940906106366,0.0,0.0,False,43,2146,1,43,1,False,3,0.0,0.0,0.012195327883085716,True,19.590393463,0.014116874589625739,1,True,0,0,0.9038196042337782,0.5342843994477681,True,False,True,cbs_v15_player_oof_v5,e_minutes_given_active,P06_n_prior_games_bin,5-9
5030,3860,3772,9.751337605845563,10.653020709339506,0.9153589270033582,0.006759443339960238,32.870581361,0.011928429423459244,False,0.00019880715705765408,0.00019880715705765408,0.0,0.0,False,34,3772,1,34,1,False,3,0.0,0.0,-0.004397475418998035,True,32.870581361,0.006759443339960238,1,False,0,0,0.8994818652849741,0.5235751295336788,True,False,True,cbs_v15_player_oof_v5,e_minutes_given_active,P07_n_prior_appearances_bin,10-19
6651,5912,5829,9.225969879952885,10.440119092643345,0.8837035093262477,0.003458126597504135,16.664049251,0.005863779882724403,False,0.0004510599909788002,0.00015035333032626674,0.0,0.0,False,23,5829,1,23,1,False,3,0.0,0.0,-0.0007871624994168284,True,16.664049251,0.003458126597504135,1,False,0,0,0.905446549391069,0.5241880920162382,True,False,True,cbs_v15_player_oof_v5,e_minutes_given_active,P07_n_prior_appearances_bin,20+
1512,887,866,10.147382361157923,11.129760743706894,0.9117340969701943,0.025793650793650792,20.183561644,0.046957671957671955,False,0.0006613756613756613,0.0013227513227513227,0.0,0.0,False,39,866,1,39,1,False,3,0.0,0.0,0.001114621592551701,True,20.183561644,0.025793650793650792,1,True,0,0,0.8895152198421646,0.5580608793686584,True,False,True,cbs_v15_player_oof_v5,e_minutes_given_active,P07_n_prior_appearances_bin,3-4
