SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,team_min,team_fgm,team_fga,team_fg_pct,team_fg3m,team_fg3a,team_fg3_pct,team_ftm,team_fta,team_ft_pct,team_oreb,team_dreb,team_reb,team_ast,team_stl,team_blk,team_tov,team_pf,team_pts,team_plus_minus,team_video_available,year,season_type
22021,1611661328,SEA,Seattle Storm,1022100031,2021-05-28,SEA vs. MIN,W,200,35,72,0.486,4,17,0.235,8,8,1.0,8,27,35,20,8,7,13,17,82,10,1,2021,regular
22021,1611661322,WAS,Washington Mystics,1022100029,2021-05-28,WAS @ CON,L,200,28,71,0.394,9,30,0.3,16,18,0.889,9,24,33,14,7,4,11,23,81,-5,1,2021,regular
22021,1611661330,ATL,Atlanta Dream,1022100033,2021-05-29,ATL @ NYL,W,225,40,87,0.46,6,21,0.286,4,8,0.5,10,35,45,21,11,8,17,19,90,3,1,2021,regular
22021,1611661321,DAL,Dallas Wings,1022100034,2021-05-29,DAL vs. PHO,L,200,29,78,0.372,9,23,0.391,18,22,0.818,10,20,30,14,7,1,4,21,85,-4,1,2021,regular
22021,1611661313,NYL,New York Liberty,1022100033,2021-05-29,NYL vs. ATL,L,225,27,69,0.391,14,34,0.412,19,21,0.905,4,32,36,23,9,3,21,9,87,-3,1,2021,regular
22021,1611661317,PHO,Phoenix Mercury,1022100034,2021-05-29,PHO @ DAL,W,200,31,62,0.5,8,22,0.364,19,26,0.731,11,33,44,22,0,7,12,20,89,4,1,2021,regular
22021,1611661329,CHI,Chicago Sky,1022100035,2021-05-30,CHI vs. LAS,L,225,30,75,0.4,7,21,0.333,12,12,1.0,13,32,45,16,9,8,25,21,79,-3,1,2021,regular
22021,1611661323,CON,Connecticut Sun,1022100037,2021-05-30,CON @ MIN,L,225,27,71,0.38,7,24,0.292,13,15,0.867,5,23,28,16,8,5,12,22,74,-5,1,2021,regular
22021,1611661325,IND,Indiana Fever,1022100036,2021-05-30,IND @ LVA,L,200,31,80,0.388,5,23,0.217,11,11,1.0,12,20,32,18,8,2,13,19,78,-23,1,2021,regular
22021,1611661319,LVA,Las Vegas Aces,1022100036,2021-05-30,LVA vs. IND,W,200,38,67,0.567,7,14,0.5,18,23,0.783,5,31,36,22,8,7,11,13,101,23,1,2021,regular
22021,1611661320,LAS,Los Angeles Sparks,1022100035,2021-05-30,LAS @ CHI,W,225,30,73,0.411,8,18,0.444,14,18,0.778,8,25,33,20,11,8,20,19,82,3,1,2021,regular
22021,1611661324,MIN,Minnesota Lynx,1022100037,2021-05-30,MIN vs. CON,W,225,28,70,0.4,10,25,0.4,13,15,0.867,10,28,38,23,5,8,17,17,79,5,1,2021,regular
22021,1611661329,CHI,Chicago Sky,1022100039,2021-06-01,CHI vs. PHO,L,200,30,79,0.38,4,14,0.286,19,20,0.95,12,16,28,18,10,2,10,18,83,-1,1,2021,regular
22021,1611661323,CON,Connecticut Sun,1022100038,2021-06-01,CON vs. LVA,W,200,24,60,0.4,4,17,0.235,22,23,0.957,8,26,34,15,8,5,15,14,74,7,1,2021,regular
22021,1611661321,DAL,Dallas Wings,1022100040,2021-06-01,DAL vs. LAS,W,200,26,66,0.394,10,28,0.357,17,18,0.944,12,29,41,21,5,3,18,22,79,10,1,2021,regular
22021,1611661325,IND,Indiana Fever,1022100041,2021-06-01,IND @ SEA,L,200,29,74,0.392,4,17,0.235,11,14,0.786,8,27,35,21,7,4,10,19,73,-15,1,2021,regular
22021,1611661319,LVA,Las Vegas Aces,1022100038,2021-06-01,LVA @ CON,L,200,28,64,0.438,0,5,0.0,11,12,0.917,3,26,29,20,6,3,13,17,67,-7,1,2021,regular
22021,1611661320,LAS,Los Angeles Sparks,1022100040,2021-06-01,LAS @ DAL,L,200,24,64,0.375,10,30,0.333,11,12,0.917,4,20,24,11,5,10,13,19,69,-10,1,2021,regular
22021,1611661317,PHO,Phoenix Mercury,1022100039,2021-06-01,PHO @ CHI,W,200,31,59,0.525,8,20,0.4,14,20,0.7,5,30,35,22,6,9,21,22,84,1,1,2021,regular
22021,1611661328,SEA,Seattle Storm,1022100041,2021-06-01,SEA vs. IND,W,200,28,65,0.431,11,22,0.5,21,24,0.875,7,29,36,22,5,4,11,17,88,15,1,2021,regular
22021,1611661329,CHI,Chicago Sky,1022100043,2021-06-03,CHI @ PHO,L,225,27,78,0.346,8,31,0.258,12,14,0.857,9,30,39,22,11,5,12,23,74,-3,1,2021,regular
22021,1611661325,IND,Indiana Fever,1022100044,2021-06-03,IND @ LAS,L,200,23,67,0.343,6,20,0.3,11,16,0.688,11,23,34,17,3,4,18,13,63,-35,1,2021,regular
